学习率,	精确度,	训练用时,	测试用时
学习率,	精确度,	训练用时,	测试用时
0.001,	0.879351,	54.06994605064392,	0.10427737236022949 
 0.0011,	0.85031,	53.7840473651886,	0.016042232513427734 
 0.0012,	0.834935,	54.2209415435791,	0.017044782638549805 
 0.0013,	0.874866,	55.65092158317566,	0.015039682388305664 
 0.0014,	0.855648,	55.53467893600464,	0.016040563583374023 
 0.0015,	0.869741,	56.71734547615051,	0.017045021057128906 
 0.0016,	0.886611,	57.44339418411255,	0.016042470932006836 
 0.0017,	0.849455,	57.560102224349976,	0.016042470932006836 
 0.0018,	0.891095,	58.39288520812988,	0.0170443058013916 
 0.0019,	0.891736,	62.98185658454895,	0.03813338279724121 
 0.002,	0.885543,	66.89007711410522,	0.06818127632141113 
 0.0021,	0.869101,	71.89963293075562,	0.09126400947570801 
 0.0022,	0.885116,	77.03635311126709,	0.13034510612487793 
 0.0023,	0.876575,	82.66441249847412,	0.15041685104370117 
 0.0024,	0.872304,	86.60054993629456,	0.17747282981872559 
 0.0025,	0.860773,	91.41450762748718,	0.2005610466003418 
 0.0026,	0.86782,	95.54435300827026,	0.23261809349060059 
 0.0027,	0.89195,	101.89603161811829,	0.2626993656158447 
 0.0028,	0.901132,	108.21082711219788,	0.28873729705810547 
 0.0029,	0.902199,	112.7529091835022,	0.30884790420532227 
 0.003,	0.887038,	120.09443545341492,	0.34693050384521484 
 
