学习率,	精确度,	训练用时,	测试用时
学习率,	精确度,	训练用时,	测试用时
0.001,	0.632427,	53.70885515213013,	0.11834168434143066 
 0.0011,	0.640388,	52.382331132888794,	0.01606917381286621 
 0.0012,	0.642136,	52.633999824523926,	0.016043424606323242 
 0.0013,	0.654369,	53.29475712776184,	0.017050504684448242 
 0.0014,	0.633592,	53.31881642341614,	0.017044544219970703 
 0.0015,	0.664854,	53.933457136154175,	0.016073942184448242 
 0.0016,	0.638058,	55.05242133140564,	0.018049240112304688 
 0.0017,	0.685825,	55.977893590927124,	0.016069412231445312 
 0.0018,	0.620777,	56.187440633773804,	0.01704549789428711 
 0.0019,	0.669126,	58.070433378219604,	0.0381014347076416 
 0.002,	0.698252,	62.7809898853302,	0.06418275833129883 
 0.0021,	0.682913,	68.63555073738098,	0.09324860572814941 
 0.0022,	0.643495,	73.40622425079346,	0.12129092216491699 
 0.0023,	0.697281,	79.67401695251465,	0.15140295028686523 
 0.0024,	0.647961,	84.9228835105896,	0.17546725273132324 
 0.0025,	0.717476,	88.82526421546936,	0.20354223251342773 
 0.0026,	0.692427,	95.21926140785217,	0.23161554336547852 
 0.0027,	0.684078,	102.0093321800232,	0.2526695728302002 
 0.0028,	0.687767,	107.5069694519043,	0.27974462509155273 
 0.0029,	0.690874,	114.69707894325256,	0.3389320373535156 
 0.003,	0.698447,	118.49217295646667,	0.3749973773956299 
 
