步数,精度
0, 0.11 
100, 0.12 
200, 0.18 
300, 0.36 
400, 0.6 
500, 0.66 
600, 0.66 
700, 0.67 
800, 0.7 
900, 0.69 
1000, 0.66 
1100, 0.75 
1200, 0.63 
1300, 0.71 
1400, 0.74 
1500, 0.59 
1600, 0.71 
1700, 0.79 
1800, 0.69 
1900, 0.79 
2000, 0.71 
2100, 0.73 
2200, 0.73 
2300, 0.83 
2400, 0.8 
2500, 0.82 
2600, 0.78 
2700, 0.82 
2800, 0.87 
2900, 0.82 
3000, 0.78 
3100, 0.84 
3200, 0.83 
3300, 0.81 
3400, 0.91 
3500, 0.85 
3600, 0.89 
3700, 0.9 
3800, 0.92 
3900, 0.9 
4000, 0.93 
4100, 0.83 
4200, 0.85 
4300, 0.78 
4400, 0.83 
4500, 0.85 
4600, 0.91 
4700, 0.91 
4800, 0.86 
4900, 0.91 
5000, 0.91 
5100, 0.95 
5200, 0.9 
5300, 0.89 
5400, 0.92 
5500, 0.93 
5600, 0.94 
5700, 0.92 
5800, 0.92 
5900, 0.88 
6000, 0.97 
6100, 0.85 
6200, 0.92 
6300, 0.92 
6400, 0.91 
6500, 0.94 
6600, 0.89 
6700, 0.76 
6800, 0.92 
6900, 0.89 
7000, 0.94 
7100, 0.93 
7200, 0.97 
7300, 0.91 
7400, 0.93 
7500, 0.95 
7600, 0.97 
7700, 0.96 
7800, 0.91 
7900, 0.98 
8000, 0.96 
8100, 0.93 
8200, 0.92 
8300, 0.95 
8400, 0.93 
8500, 0.87 
8600, 0.95 
8700, 0.89 
8800, 0.97 
8900, 0.88 
9000, 0.93 
9100, 0.92 
9200, 0.89 
9300, 0.98 
9400, 0.97 
9500, 0.99 
9600, 0.88 
9700, 0.93 
9800, 0.93 
9900, 0.94 
10000, 0.92 
10100, 0.88 
10200, 0.95 
10300, 0.93 
10400, 0.95 
10500, 0.94 
10600, 0.96 
10700, 0.97 
10800, 0.96 
10900, 0.96 
11000, 0.98 
11100, 0.94 
11200, 0.93 
11300, 0.92 
11400, 0.92 
11500, 0.95 
11600, 0.98 
11700, 0.94 
11800, 0.95 
11900, 0.94 
12000, 0.95 
12100, 0.96 
12200, 0.96 
12300, 0.93 
12400, 0.95 
12500, 0.96 
12600, 0.9 
12700, 0.95 
12800, 0.95 
12900, 0.87 
13000, 0.91 
13100, 0.95 
13200, 0.91 
13300, 0.96 
13400, 0.89 
13500, 0.95 
13600, 0.96 
13700, 0.96 
13800, 0.94 
13900, 0.93 
14000, 0.92 
14100, 0.97 
14200, 0.97 
14300, 0.93 
14400, 0.97 
14500, 0.95 
14600, 0.95 
14700, 0.98 
14800, 0.94 
14900, 0.94 
