步数,精度
0, 0 
100, 0.13 
200, 0.27 
300, 0.33 
400, 0.48 
500, 0.65 
600, 0.63 
700, 0.62 
800, 0.62 
900, 0.67 
1000, 0.72 
1100, 0.64 
1200, 0.68 
1300, 0.73 
1400, 0.66 
1500, 0.67 
1600, 0.67 
1700, 0.74 
1800, 0.72 
1900, 0.77 
2000, 0.69 
2100, 0.71 
2200, 0.68 
2300, 0.77 
2400, 0.71 
2500, 0.72 
2600, 0.73 
2700, 0.71 
2800, 0.68 
2900, 0.71 
3000, 0.8 
3100, 0.72 
3200, 0.75 
3300, 0.75 
3400, 0.8 
3500, 0.71 
3600, 0.74 
3700, 0.76 
3800, 0.71 
3900, 0.72 
4000, 0.8 
4100, 0.8 
4200, 0.84 
4300, 0.79 
4400, 0.87 
4500, 0.73 
4600, 0.75 
4700, 0.76 
4800, 0.85 
4900, 0.83 
5000, 0.86 
5100, 0.82 
5200, 0.91 
5300, 0.87 
5400, 0.87 
5500, 0.91 
5600, 0.92 
5700, 0.88 
5800, 0.91 
5900, 0.91 
6000, 0.84 
6100, 0.94 
6200, 0.87 
6300, 0.93 
6400, 0.88 
6500, 0.91 
6600, 0.86 
6700, 0.92 
6800, 0.9 
6900, 0.93 
7000, 0.93 
7100, 0.92 
7200, 0.85 
7300, 0.9 
7400, 0.93 
7500, 0.94 
7600, 0.91 
7700, 0.89 
7800, 0.88 
7900, 0.93 
8000, 0.91 
8100, 0.94 
8200, 0.94 
8300, 0.91 
8400, 0.9 
8500, 0.89 
8600, 0.78 
8700, 0.89 
8800, 0.97 
8900, 0.91 
9000, 0.88 
9100, 0.92 
9200, 0.97 
9300, 0.97 
9400, 0.88 
9500, 0.96 
9600, 0.92 
9700, 0.83 
9800, 0.96 
9900, 0.99 
10000, 0.94 
10100, 0.95 
10200, 0.92 
10300, 0.95 
10400, 0.94 
10500, 0.94 
10600, 0.91 
10700, 0.98 
10800, 0.89 
10900, 0.93 
11000, 0.97 
11100, 0.93 
11200, 0.95 
11300, 0.9 
11400, 0.86 
11500, 0.97 
11600, 0.95 
11700, 0.96 
11800, 0.96 
11900, 0.91 
12000, 0.96 
12100, 0.94 
12200, 0.96 
12300, 0.95 
12400, 0.92 
12500, 0.98 
12600, 0.95 
12700, 0.93 
12800, 0.98 
12900, 0.98 
13000, 0.96 
13100, 0.96 
13200, 0.98 
13300, 0.94 
13400, 0.96 
13500, 0.95 
13600, 0.99 
13700, 0.98 
13800, 0.98 
13900, 0.96 
14000, 0.94 
14100, 0.95 
14200, 0.97 
14300, 0.96 
14400, 0.95 
14500, 0.92 
14600, 0.98 
14700, 0.95 
14800, 0.99 
14900, 0.97 
