步数,精度
0, 0.15 
100, 0.19 
200, 0.19 
300, 0.19 
400, 0.32 
500, 0.63 
600, 0.63 
700, 0.53 
800, 0.69 
900, 0.66 
1000, 0.73 
1100, 0.68 
1200, 0.71 
1300, 0.63 
1400, 0.72 
1500, 0.62 
1600, 0.7 
1700, 0.71 
1800, 0.75 
1900, 0.69 
2000, 0.7 
2100, 0.7 
2200, 0.75 
2300, 0.66 
2400, 0.75 
2500, 0.77 
2600, 0.67 
2700, 0.69 
2800, 0.66 
2900, 0.71 
3000, 0.67 
3100, 0.71 
3200, 0.75 
3300, 0.72 
3400, 0.72 
3500, 0.71 
3600, 0.8 
3700, 0.8 
3800, 0.72 
3900, 0.73 
4000, 0.76 
4100, 0.8 
4200, 0.83 
4300, 0.77 
4400, 0.92 
4500, 0.81 
4600, 0.78 
4700, 0.79 
4800, 0.93 
4900, 0.78 
5000, 0.91 
5100, 0.88 
5200, 0.82 
5300, 0.9 
5400, 0.88 
5500, 0.8 
5600, 0.82 
5700, 0.85 
5800, 0.8 
5900, 0.86 
6000, 0.9 
6100, 0.86 
6200, 0.86 
6300, 0.92 
6400, 0.84 
6500, 0.94 
6600, 0.81 
6700, 0.9 
6800, 0.93 
6900, 0.83 
7000, 0.94 
7100, 0.92 
7200, 0.9 
7300, 0.88 
7400, 0.86 
7500, 0.89 
7600, 0.94 
7700, 0.88 
7800, 0.94 
7900, 0.91 
8000, 0.94 
8100, 0.95 
8200, 0.91 
8300, 0.91 
8400, 0.85 
8500, 0.92 
8600, 0.98 
8700, 0.88 
8800, 0.92 
8900, 0.94 
9000, 0.94 
9100, 0.94 
9200, 0.91 
9300, 0.91 
9400, 0.88 
9500, 0.97 
9600, 0.88 
9700, 0.94 
9800, 0.91 
9900, 0.89 
10000, 0.95 
10100, 0.93 
10200, 0.92 
10300, 0.86 
10400, 0.94 
10500, 0.93 
10600, 0.83 
10700, 0.92 
10800, 0.95 
10900, 0.91 
11000, 0.93 
11100, 0.83 
11200, 0.95 
11300, 0.95 
11400, 0.9 
11500, 0.92 
11600, 0.9 
11700, 0.86 
11800, 0.95 
11900, 0.94 
12000, 0.96 
12100, 0.94 
12200, 0.9 
12300, 0.9 
12400, 0.96 
12500, 0.93 
12600, 0.93 
12700, 0.92 
12800, 0.86 
12900, 0.95 
13000, 0.94 
13100, 0.91 
13200, 0.93 
13300, 0.95 
13400, 0.9 
13500, 0.85 
13600, 0.97 
13700, 0.95 
13800, 0.95 
13900, 0.88 
14000, 0.94 
14100, 0.92 
14200, 0.95 
14300, 0.92 
14400, 0.95 
14500, 0.96 
14600, 0.93 
14700, 0.96 
14800, 0.9 
14900, 0.92 
