步数,精度
0, 0.08 
100, 0.22 
200, 0.28 
300, 0.13 
400, 0.11 
500, 0.46 
600, 0.63 
700, 0.62 
800, 0.59 
900, 0.55 
1000, 0.59 
1100, 0.54 
1200, 0.61 
1300, 0.65 
1400, 0.65 
1500, 0.69 
1600, 0.69 
1700, 0.65 
1800, 0.72 
1900, 0.7 
2000, 0.57 
2100, 0.63 
2200, 0.68 
2300, 0.74 
2400, 0.79 
2500, 0.68 
2600, 0.64 
2700, 0.63 
2800, 0.73 
2900, 0.78 
3000, 0.59 
3100, 0.66 
3200, 0.71 
3300, 0.64 
3400, 0.7 
3500, 0.77 
3600, 0.68 
3700, 0.7 
3800, 0.64 
3900, 0.74 
4000, 0.72 
4100, 0.7 
4200, 0.65 
4300, 0.7 
4400, 0.76 
4500, 0.62 
4600, 0.71 
4700, 0.72 
4800, 0.74 
4900, 0.69 
5000, 0.69 
5100, 0.71 
5200, 0.71 
5300, 0.68 
5400, 0.69 
5500, 0.73 
5600, 0.65 
5700, 0.69 
5800, 0.74 
5900, 0.78 
6000, 0.78 
6100, 0.74 
6200, 0.63 
6300, 0.74 
6400, 0.76 
6500, 0.69 
6600, 0.73 
6700, 0.73 
6800, 0.72 
6900, 0.77 
7000, 0.73 
7100, 0.74 
7200, 0.7 
7300, 0.75 
7400, 0.73 
7500, 0.71 
7600, 0.75 
7700, 0.81 
7800, 0.72 
7900, 0.67 
8000, 0.73 
8100, 0.78 
8200, 0.83 
8300, 0.73 
8400, 0.82 
8500, 0.77 
8600, 0.82 
8700, 0.83 
8800, 0.78 
8900, 0.78 
9000, 0.85 
9100, 0.77 
9200, 0.82 
9300, 0.8 
9400, 0.86 
9500, 0.84 
9600, 0.84 
9700, 0.87 
9800, 0.88 
9900, 0.85 
10000, 0.69 
10100, 0.87 
10200, 0.81 
10300, 0.87 
10400, 0.89 
10500, 0.85 
10600, 0.87 
10700, 0.89 
10800, 0.82 
10900, 0.92 
11000, 0.88 
11100, 0.89 
11200, 0.88 
11300, 0.89 
11400, 0.82 
11500, 0.89 
11600, 0.77 
11700, 0.86 
11800, 0.89 
11900, 0.88 
12000, 0.74 
12100, 0.93 
12200, 0.9 
12300, 0.86 
12400, 0.87 
12500, 0.9 
12600, 0.88 
12700, 0.86 
12800, 0.88 
12900, 0.92 
13000, 0.89 
13100, 0.92 
13200, 0.82 
13300, 0.95 
13400, 0.93 
13500, 0.88 
13600, 0.88 
13700, 0.88 
13800, 0.87 
13900, 0.96 
14000, 0.85 
14100, 0.93 
14200, 0.98 
14300, 0.94 
14400, 0.9 
14500, 0.87 
14600, 0.91 
14700, 0.91 
14800, 0.92 
14900, 0.95 
