步数,精度
0, 0.04 
100, 0.19 
200, 0.19 
300, 0.29 
400, 0.39 
500, 0.54 
600, 0.55 
700, 0.61 
800, 0.7 
900, 0.66 
1000, 0.65 
1100, 0.69 
1200, 0.68 
1300, 0.64 
1400, 0.78 
1500, 0.71 
1600, 0.72 
1700, 0.62 
1800, 0.7 
1900, 0.68 
2000, 0.75 
2100, 0.67 
2200, 0.63 
2300, 0.68 
2400, 0.78 
2500, 0.77 
2600, 0.77 
2700, 0.73 
2800, 0.69 
2900, 0.73 
3000, 0.73 
3100, 0.71 
3200, 0.73 
3300, 0.64 
3400, 0.71 
3500, 0.78 
3600, 0.72 
3700, 0.77 
3800, 0.77 
3900, 0.72 
4000, 0.75 
4100, 0.76 
4200, 0.64 
4300, 0.73 
4400, 0.79 
4500, 0.74 
4600, 0.71 
4700, 0.71 
4800, 0.63 
4900, 0.72 
5000, 0.73 
5100, 0.73 
5200, 0.75 
5300, 0.73 
5400, 0.84 
5500, 0.76 
5600, 0.83 
5700, 0.82 
5800, 0.81 
5900, 0.86 
6000, 0.77 
6100, 0.86 
6200, 0.78 
6300, 0.75 
6400, 0.74 
6500, 0.64 
6600, 0.82 
6700, 0.83 
6800, 0.89 
6900, 0.84 
7000, 0.85 
7100, 0.86 
7200, 0.86 
7300, 0.9 
7400, 0.92 
7500, 0.88 
7600, 0.88 
7700, 0.87 
7800, 0.91 
7900, 0.88 
8000, 0.93 
8100, 0.89 
8200, 0.95 
8300, 0.91 
8400, 0.94 
8500, 0.92 
8600, 0.96 
8700, 0.89 
8800, 0.94 
8900, 0.91 
9000, 0.9 
9100, 0.94 
9200, 0.9 
9300, 0.93 
9400, 0.93 
9500, 0.94 
9600, 0.86 
9700, 0.9 
9800, 0.9 
9900, 0.91 
10000, 0.96 
10100, 0.97 
10200, 0.92 
10300, 0.94 
10400, 0.94 
10500, 0.97 
10600, 0.92 
10700, 0.94 
10800, 0.94 
10900, 0.92 
11000, 0.97 
11100, 0.97 
11200, 0.9 
11300, 0.95 
11400, 0.89 
11500, 0.89 
11600, 0.93 
11700, 0.96 
11800, 0.92 
11900, 0.97 
12000, 0.93 
12100, 0.94 
12200, 0.97 
12300, 0.94 
12400, 0.93 
12500, 0.92 
12600, 0.92 
12700, 0.96 
12800, 0.96 
12900, 0.93 
13000, 0.92 
13100, 0.86 
13200, 0.92 
13300, 0.96 
13400, 0.94 
13500, 0.94 
13600, 0.98 
13700, 0.96 
13800, 0.93 
13900, 0.98 
14000, 0.95 
14100, 0.96 
14200, 0.94 
14300, 0.93 
14400, 0.92 
14500, 0.92 
14600, 0.95 
14700, 0.94 
14800, 0.89 
14900, 0.94 
