步数,精度
0, 0.14 
100, 0.26 
200, 0.21 
300, 0.19 
400, 0.33 
500, 0.69 
600, 0.68 
700, 0.64 
800, 0.67 
900, 0.71 
1000, 0.64 
1100, 0.7 
1200, 0.77 
1300, 0.76 
1400, 0.63 
1500, 0.68 
1600, 0.76 
1700, 0.7 
1800, 0.66 
1900, 0.71 
2000, 0.75 
2100, 0.68 
2200, 0.67 
2300, 0.71 
2400, 0.75 
2500, 0.79 
2600, 0.69 
2700, 0.68 
2800, 0.68 
2900, 0.7 
3000, 0.71 
3100, 0.76 
3200, 0.75 
3300, 0.74 
3400, 0.79 
3500, 0.68 
3600, 0.74 
3700, 0.76 
3800, 0.77 
3900, 0.76 
4000, 0.71 
4100, 0.82 
4200, 0.85 
4300, 0.8 
4400, 0.8 
4500, 0.78 
4600, 0.9 
4700, 0.89 
4800, 0.83 
4900, 0.87 
5000, 0.8 
5100, 0.84 
5200, 0.88 
5300, 0.82 
5400, 0.91 
5500, 0.87 
5600, 0.94 
5700, 0.93 
5800, 0.89 
5900, 0.91 
6000, 0.93 
6100, 0.94 
6200, 0.92 
6300, 0.85 
6400, 0.87 
6500, 0.94 
6600, 0.97 
6700, 0.89 
6800, 0.92 
6900, 0.92 
7000, 0.95 
7100, 0.9 
7200, 0.91 
7300, 0.92 
7400, 0.89 
7500, 0.9 
7600, 0.86 
7700, 0.9 
7800, 0.95 
7900, 0.86 
8000, 0.93 
8100, 0.95 
8200, 0.92 
8300, 0.95 
8400, 0.91 
8500, 0.95 
8600, 0.94 
8700, 0.95 
8800, 0.94 
8900, 0.96 
9000, 0.93 
9100, 0.91 
9200, 0.93 
9300, 0.94 
9400, 0.96 
9500, 0.92 
9600, 0.94 
9700, 0.93 
9800, 0.88 
9900, 0.95 
10000, 0.94 
10100, 0.97 
10200, 0.93 
10300, 0.9 
10400, 0.96 
10500, 0.94 
10600, 0.9 
10700, 0.96 
10800, 0.93 
10900, 0.94 
11000, 0.97 
11100, 0.95 
11200, 0.97 
11300, 0.98 
11400, 0.93 
11500, 0.95 
11600, 0.95 
11700, 0.93 
11800, 0.89 
11900, 0.92 
12000, 0.91 
12100, 0.96 
12200, 0.95 
12300, 0.9 
12400, 0.94 
12500, 0.87 
12600, 0.93 
12700, 0.96 
12800, 0.93 
12900, 0.94 
13000, 0.93 
13100, 0.98 
13200, 0.92 
13300, 0.91 
13400, 0.95 
13500, 0.92 
13600, 0.95 
13700, 0.94 
13800, 0.91 
13900, 0.95 
14000, 0.95 
14100, 0.98 
14200, 0.96 
14300, 0.85 
14400, 0.95 
14500, 0.94 
14600, 0.97 
14700, 0.96 
14800, 0.91 
14900, 0.97 
