步数,精度
0, 0.25 
100, 0.17 
200, 0.16 
300, 0.18 
400, 0.55 
500, 0.71 
600, 0.72 
700, 0.62 
800, 0.67 
900, 0.57 
1000, 0.68 
1100, 0.62 
1200, 0.72 
1300, 0.71 
1400, 0.7 
1500, 0.75 
1600, 0.74 
1700, 0.68 
1800, 0.69 
1900, 0.74 
2000, 0.72 
2100, 0.75 
2200, 0.81 
2300, 0.72 
2400, 0.73 
2500, 0.69 
2600, 0.78 
2700, 0.78 
2800, 0.73 
2900, 0.73 
3000, 0.76 
3100, 0.83 
3200, 0.76 
3300, 0.74 
3400, 0.75 
3500, 0.76 
3600, 0.85 
3700, 0.85 
3800, 0.77 
3900, 0.87 
4000, 0.87 
4100, 0.85 
4200, 0.89 
4300, 0.88 
4400, 0.83 
4500, 0.91 
4600, 0.85 
4700, 0.83 
4800, 0.88 
4900, 0.85 
5000, 0.91 
5100, 0.88 
5200, 0.9 
5300, 0.89 
5400, 0.93 
5500, 0.87 
5600, 0.93 
5700, 0.89 
5800, 0.77 
5900, 0.9 
6000, 0.91 
6100, 0.91 
6200, 0.91 
6300, 0.91 
6400, 0.86 
6500, 0.89 
6600, 0.93 
6700, 0.88 
6800, 0.93 
6900, 0.87 
7000, 0.89 
7100, 0.87 
7200, 0.88 
7300, 0.88 
7400, 0.91 
7500, 0.89 
7600, 0.95 
7700, 0.97 
7800, 0.9 
7900, 0.95 
8000, 0.93 
8100, 0.94 
8200, 0.92 
8300, 0.92 
8400, 0.99 
8500, 0.87 
8600, 0.93 
8700, 0.9 
8800, 0.95 
8900, 0.9 
9000, 0.94 
9100, 0.92 
9200, 0.96 
9300, 0.93 
9400, 0.95 
9500, 0.95 
9600, 0.89 
9700, 0.91 
9800, 0.95 
9900, 0.92 
10000, 0.96 
10100, 0.92 
10200, 0.9 
10300, 0.94 
10400, 0.93 
10500, 0.98 
10600, 0.96 
10700, 0.98 
10800, 0.87 
10900, 0.94 
11000, 0.95 
11100, 0.99 
11200, 0.99 
11300, 0.97 
11400, 0.94 
11500, 0.95 
11600, 0.85 
11700, 0.88 
11800, 0.89 
11900, 0.93 
12000, 0.88 
12100, 0.9 
12200, 0.92 
12300, 0.86 
12400, 0.89 
12500, 0.93 
12600, 0.91 
12700, 0.92 
12800, 0.92 
12900, 0.97 
13000, 0.95 
13100, 0.96 
13200, 0.91 
13300, 0.93 
13400, 0.95 
13500, 0.93 
13600, 0.92 
13700, 0.89 
13800, 0.93 
13900, 0.96 
14000, 0.93 
14100, 0.95 
14200, 0.91 
14300, 0.92 
14400, 0.88 
14500, 0.95 
14600, 0.93 
14700, 0.95 
14800, 0.94 
14900, 0.94 
