步数,精度
0, 0 
100, 0.2 
200, 0.18 
300, 0.42 
400, 0.58 
500, 0.64 
600, 0.68 
700, 0.65 
800, 0.56 
900, 0.71 
1000, 0.65 
1100, 0.73 
1200, 0.74 
1300, 0.64 
1400, 0.71 
1500, 0.65 
1600, 0.72 
1700, 0.74 
1800, 0.72 
1900, 0.75 
2000, 0.69 
2100, 0.69 
2200, 0.72 
2300, 0.72 
2400, 0.81 
2500, 0.73 
2600, 0.8 
2700, 0.74 
2800, 0.73 
2900, 0.75 
3000, 0.77 
3100, 0.77 
3200, 0.63 
3300, 0.79 
3400, 0.79 
3500, 0.85 
3600, 0.81 
3700, 0.9 
3800, 0.87 
3900, 0.89 
4000, 0.84 
4100, 0.86 
4200, 0.9 
4300, 0.9 
4400, 0.87 
4500, 0.92 
4600, 0.88 
4700, 0.87 
4800, 0.8 
4900, 0.88 
5000, 0.84 
5100, 0.9 
5200, 0.87 
5300, 0.93 
5400, 0.9 
5500, 0.97 
5600, 0.92 
5700, 0.9 
5800, 0.92 
5900, 0.92 
6000, 0.95 
6100, 0.88 
6200, 0.92 
6300, 0.95 
6400, 0.95 
6500, 0.95 
6600, 0.94 
6700, 0.92 
6800, 0.85 
6900, 0.92 
7000, 0.93 
7100, 0.92 
7200, 0.9 
7300, 0.91 
7400, 0.87 
7500, 0.92 
7600, 0.91 
7700, 0.95 
7800, 0.95 
7900, 0.9 
8000, 0.97 
8100, 0.84 
8200, 0.91 
8300, 0.93 
8400, 0.96 
8500, 0.94 
8600, 0.93 
8700, 0.95 
8800, 0.86 
8900, 0.96 
9000, 0.96 
9100, 0.94 
9200, 0.91 
9300, 0.96 
9400, 0.91 
9500, 0.9 
9600, 0.93 
9700, 0.94 
9800, 0.95 
9900, 0.93 
10000, 0.95 
10100, 0.86 
10200, 0.96 
10300, 0.93 
10400, 0.9 
10500, 0.9 
10600, 0.93 
10700, 0.95 
10800, 0.96 
10900, 0.97 
11000, 0.91 
11100, 0.9 
11200, 0.88 
11300, 0.97 
11400, 0.98 
11500, 0.96 
11600, 0.97 
11700, 0.93 
11800, 0.98 
11900, 0.99 
12000, 0.94 
12100, 0.94 
12200, 0.95 
12300, 0.96 
12400, 0.94 
12500, 0.94 
12600, 0.91 
12700, 0.95 
12800, 0.93 
12900, 0.96 
13000, 0.96 
13100, 0.95 
13200, 0.96 
13300, 0.95 
13400, 0.95 
13500, 0.96 
13600, 0.93 
13700, 0.97 
13800, 0.95 
13900, 0.9 
14000, 0.96 
14100, 0.99 
14200, 0.97 
14300, 0.97 
14400, 0.97 
14500, 0.96 
14600, 0.93 
14700, 0.96 
14800, 0.96 
14900, 0.97 
