步数,精度
0, 0.19 
100, 0.16 
200, 0.21 
300, 0.23 
400, 0.47 
500, 0.56 
600, 0.63 
700, 0.52 
800, 0.67 
900, 0.7 
1000, 0.63 
1100, 0.76 
1200, 0.64 
1300, 0.73 
1400, 0.64 
1500, 0.71 
1600, 0.62 
1700, 0.66 
1800, 0.6 
1900, 0.72 
2000, 0.71 
2100, 0.7 
2200, 0.66 
2300, 0.73 
2400, 0.66 
2500, 0.63 
2600, 0.73 
2700, 0.68 
2800, 0.78 
2900, 0.71 
3000, 0.66 
3100, 0.71 
3200, 0.65 
3300, 0.68 
3400, 0.64 
3500, 0.65 
3600, 0.72 
3700, 0.81 
3800, 0.68 
3900, 0.72 
4000, 0.8 
4100, 0.7 
4200, 0.72 
4300, 0.73 
4400, 0.69 
4500, 0.78 
4600, 0.79 
4700, 0.76 
4800, 0.81 
4900, 0.82 
5000, 0.85 
5100, 0.83 
5200, 0.88 
5300, 0.81 
5400, 0.8 
5500, 0.88 
5600, 0.84 
5700, 0.87 
5800, 0.89 
5900, 0.89 
6000, 0.89 
6100, 0.85 
6200, 0.84 
6300, 0.91 
6400, 0.87 
6500, 0.94 
6600, 0.88 
6700, 0.85 
6800, 0.88 
6900, 0.9 
7000, 0.84 
7100, 0.94 
7200, 0.86 
7300, 0.85 
7400, 0.93 
7500, 0.95 
7600, 0.93 
7700, 0.89 
7800, 0.91 
7900, 0.89 
8000, 0.95 
8100, 0.88 
8200, 0.97 
8300, 0.91 
8400, 0.92 
8500, 0.94 
8600, 0.89 
8700, 0.98 
8800, 0.92 
8900, 0.83 
9000, 0.87 
9100, 0.93 
9200, 0.86 
9300, 0.92 
9400, 0.91 
9500, 0.95 
9600, 0.92 
9700, 0.91 
9800, 0.93 
9900, 0.94 
10000, 0.92 
10100, 0.9 
10200, 0.96 
10300, 0.89 
10400, 0.98 
10500, 0.94 
10600, 0.96 
10700, 0.9 
10800, 0.87 
10900, 0.96 
11000, 0.96 
11100, 0.91 
11200, 0.9 
11300, 0.89 
11400, 0.89 
11500, 0.93 
11600, 0.93 
11700, 0.94 
11800, 0.92 
11900, 0.88 
12000, 0.96 
12100, 0.93 
12200, 0.98 
12300, 0.95 
12400, 0.97 
12500, 0.97 
12600, 0.96 
12700, 0.96 
12800, 0.87 
12900, 0.96 
13000, 0.91 
13100, 0.94 
13200, 0.9 
13300, 0.97 
13400, 0.96 
13500, 0.94 
13600, 0.97 
13700, 0.98 
13800, 0.94 
13900, 0.96 
14000, 0.94 
14100, 0.95 
14200, 0.96 
14300, 0.92 
14400, 0.93 
14500, 0.93 
14600, 0.94 
14700, 0.98 
14800, 0.9 
14900, 0.97 
