步数,精度
0, 0.03 
100, 0.22 
200, 0.24 
300, 0.17 
400, 0.34 
500, 0.43 
600, 0.5 
700, 0.59 
800, 0.55 
900, 0.72 
1000, 0.69 
1100, 0.67 
1200, 0.65 
1300, 0.69 
1400, 0.64 
1500, 0.73 
1600, 0.68 
1700, 0.65 
1800, 0.7 
1900, 0.71 
2000, 0.63 
2100, 0.71 
2200, 0.67 
2300, 0.71 
2400, 0.8 
2500, 0.76 
2600, 0.66 
2700, 0.71 
2800, 0.75 
2900, 0.67 
3000, 0.71 
3100, 0.67 
3200, 0.69 
3300, 0.68 
3400, 0.75 
3500, 0.69 
3600, 0.77 
3700, 0.75 
3800, 0.72 
3900, 0.7 
4000, 0.81 
4100, 0.76 
4200, 0.74 
4300, 0.67 
4400, 0.78 
4500, 0.7 
4600, 0.73 
4700, 0.72 
4800, 0.82 
4900, 0.69 
5000, 0.74 
5100, 0.71 
5200, 0.6 
5300, 0.78 
5400, 0.71 
5500, 0.66 
5600, 0.79 
5700, 0.75 
5800, 0.67 
5900, 0.75 
6000, 0.65 
6100, 0.64 
6200, 0.68 
6300, 0.79 
6400, 0.66 
6500, 0.7 
6600, 0.82 
6700, 0.74 
6800, 0.72 
6900, 0.74 
7000, 0.78 
7100, 0.81 
7200, 0.76 
7300, 0.73 
7400, 0.76 
7500, 0.83 
7600, 0.71 
7700, 0.8 
7800, 0.81 
7900, 0.72 
8000, 0.81 
8100, 0.76 
8200, 0.79 
8300, 0.8 
8400, 0.82 
8500, 0.82 
8600, 0.7 
8700, 0.83 
8800, 0.85 
8900, 0.85 
9000, 0.86 
9100, 0.85 
9200, 0.84 
9300, 0.86 
9400, 0.82 
9500, 0.84 
9600, 0.89 
9700, 0.86 
9800, 0.76 
9900, 0.82 
10000, 0.78 
10100, 0.85 
10200, 0.86 
10300, 0.85 
10400, 0.9 
10500, 0.86 
10600, 0.89 
10700, 0.87 
10800, 0.94 
10900, 0.8 
11000, 0.89 
11100, 0.89 
11200, 0.91 
11300, 0.87 
11400, 0.88 
11500, 0.91 
11600, 0.87 
11700, 0.88 
11800, 0.87 
11900, 0.83 
12000, 0.83 
12100, 0.89 
12200, 0.75 
12300, 0.93 
12400, 0.96 
12500, 0.87 
12600, 0.93 
12700, 0.85 
12800, 0.89 
12900, 0.86 
13000, 0.91 
13100, 0.92 
13200, 0.86 
13300, 0.91 
13400, 0.88 
13500, 0.9 
13600, 0.91 
13700, 0.92 
13800, 0.92 
13900, 0.89 
14000, 0.95 
14100, 0.93 
14200, 0.88 
14300, 0.9 
14400, 0.91 
14500, 0.92 
14600, 0.91 
14700, 0.98 
14800, 0.89 
14900, 0.93 
