步数,精度
0, 0.04 
100, 0.13 
200, 0.19 
300, 0.17 
400, 0.48 
500, 0.57 
600, 0.68 
700, 0.57 
800, 0.58 
900, 0.66 
1000, 0.68 
1100, 0.7 
1200, 0.63 
1300, 0.65 
1400, 0.63 
1500, 0.72 
1600, 0.7 
1700, 0.63 
1800, 0.7 
1900, 0.77 
2000, 0.7 
2100, 0.74 
2200, 0.69 
2300, 0.7 
2400, 0.7 
2500, 0.68 
2600, 0.73 
2700, 0.82 
2800, 0.79 
2900, 0.71 
3000, 0.73 
3100, 0.71 
3200, 0.68 
3300, 0.7 
3400, 0.78 
3500, 0.81 
3600, 0.73 
3700, 0.78 
3800, 0.71 
3900, 0.72 
4000, 0.78 
4100, 0.82 
4200, 0.8 
4300, 0.72 
4400, 0.86 
4500, 0.83 
4600, 0.86 
4700, 0.78 
4800, 0.87 
4900, 0.88 
5000, 0.8 
5100, 0.82 
5200, 0.86 
5300, 0.83 
5400, 0.86 
5500, 0.83 
5600, 0.8 
5700, 0.88 
5800, 0.91 
5900, 0.92 
6000, 0.75 
6100, 0.9 
6200, 0.91 
6300, 0.87 
6400, 0.89 
6500, 0.88 
6600, 0.92 
6700, 0.87 
6800, 0.9 
6900, 0.9 
7000, 0.83 
7100, 0.92 
7200, 0.95 
7300, 0.94 
7400, 0.86 
7500, 0.88 
7600, 0.89 
7700, 0.91 
7800, 0.96 
7900, 0.82 
8000, 0.9 
8100, 0.87 
8200, 0.91 
8300, 0.87 
8400, 0.94 
8500, 0.86 
8600, 0.93 
8700, 0.96 
8800, 0.89 
8900, 0.94 
9000, 0.94 
9100, 0.93 
9200, 0.92 
9300, 0.91 
9400, 0.92 
9500, 0.91 
9600, 0.92 
9700, 0.97 
9800, 0.94 
9900, 0.95 
10000, 0.96 
10100, 0.94 
10200, 0.96 
10300, 0.93 
10400, 0.84 
10500, 0.97 
10600, 0.9 
10700, 0.96 
10800, 0.89 
10900, 0.96 
11000, 0.91 
11100, 0.95 
11200, 0.93 
11300, 0.91 
11400, 0.96 
11500, 0.88 
11600, 0.94 
11700, 0.94 
11800, 0.94 
11900, 0.91 
12000, 0.95 
12100, 0.94 
12200, 0.95 
12300, 0.94 
12400, 0.94 
12500, 0.96 
12600, 0.97 
12700, 0.94 
12800, 0.97 
12900, 0.94 
13000, 0.92 
13100, 0.97 
13200, 0.95 
13300, 0.91 
13400, 0.87 
13500, 0.95 
13600, 0.96 
13700, 0.86 
13800, 0.9 
13900, 0.93 
14000, 0.93 
14100, 0.97 
14200, 0.96 
14300, 0.95 
14400, 0.92 
14500, 0.96 
14600, 0.94 
14700, 0.94 
14800, 0.96 
14900, 0.92 
