步数,精度
0, 0.06 
100, 0.12 
200, 0.17 
300, 0.2 
400, 0.16 
500, 0.34 
600, 0.49 
700, 0.55 
800, 0.61 
900, 0.61 
1000, 0.6 
1100, 0.64 
1200, 0.65 
1300, 0.65 
1400, 0.74 
1500, 0.69 
1600, 0.69 
1700, 0.72 
1800, 0.6 
1900, 0.64 
2000, 0.67 
2100, 0.67 
2200, 0.68 
2300, 0.74 
2400, 0.62 
2500, 0.7 
2600, 0.63 
2700, 0.78 
2800, 0.74 
2900, 0.63 
3000, 0.65 
3100, 0.69 
3200, 0.64 
3300, 0.7 
3400, 0.71 
3500, 0.68 
3600, 0.72 
3700, 0.68 
3800, 0.75 
3900, 0.69 
4000, 0.74 
4100, 0.72 
4200, 0.7 
4300, 0.68 
4400, 0.72 
4500, 0.77 
4600, 0.71 
4700, 0.71 
4800, 0.62 
4900, 0.8 
5000, 0.68 
5100, 0.63 
5200, 0.75 
5300, 0.77 
5400, 0.66 
5500, 0.77 
5600, 0.74 
5700, 0.62 
5800, 0.73 
5900, 0.74 
6000, 0.71 
6100, 0.81 
6200, 0.77 
6300, 0.82 
6400, 0.74 
6500, 0.81 
6600, 0.76 
6700, 0.76 
6800, 0.8 
6900, 0.83 
7000, 0.81 
7100, 0.87 
7200, 0.75 
7300, 0.81 
7400, 0.81 
7500, 0.77 
7600, 0.87 
7700, 0.86 
7800, 0.89 
7900, 0.84 
8000, 0.91 
8100, 0.85 
8200, 0.85 
8300, 0.86 
8400, 0.9 
8500, 0.77 
8600, 0.86 
8700, 0.89 
8800, 0.86 
8900, 0.92 
9000, 0.89 
9100, 0.93 
9200, 0.9 
9300, 0.87 
9400, 0.78 
9500, 0.92 
9600, 0.91 
9700, 0.92 
9800, 0.87 
9900, 0.88 
10000, 0.91 
10100, 0.94 
10200, 0.93 
10300, 0.94 
10400, 0.91 
10500, 0.84 
10600, 0.91 
10700, 0.94 
10800, 0.92 
10900, 0.94 
11000, 0.96 
11100, 0.89 
11200, 0.97 
11300, 0.9 
11400, 0.94 
11500, 0.94 
11600, 0.92 
11700, 0.95 
11800, 0.96 
11900, 0.93 
12000, 0.89 
12100, 0.94 
12200, 0.88 
12300, 0.87 
12400, 0.91 
12500, 0.91 
12600, 0.99 
12700, 0.9 
12800, 0.88 
12900, 0.96 
13000, 0.94 
13100, 0.95 
13200, 0.94 
13300, 0.95 
13400, 0.94 
13500, 0.97 
13600, 0.9 
13700, 0.94 
13800, 0.95 
13900, 0.93 
14000, 0.97 
14100, 0.97 
14200, 0.95 
14300, 0.95 
14400, 0.94 
14500, 0.9 
14600, 0.94 
14700, 0.89 
14800, 0.98 
14900, 0.97 
