步数,精度
0, 0.2 
100, 0.13 
200, 0.18 
300, 0.4 
400, 0.68 
500, 0.66 
600, 0.72 
700, 0.6 
800, 0.58 
900, 0.7 
1000, 0.68 
1100, 0.61 
1200, 0.69 
1300, 0.65 
1400, 0.59 
1500, 0.68 
1600, 0.65 
1700, 0.7 
1800, 0.78 
1900, 0.72 
2000, 0.61 
2100, 0.72 
2200, 0.76 
2300, 0.83 
2400, 0.72 
2500, 0.73 
2600, 0.77 
2700, 0.75 
2800, 0.74 
2900, 0.72 
3000, 0.68 
3100, 0.76 
3200, 0.85 
3300, 0.81 
3400, 0.7 
3500, 0.69 
3600, 0.87 
3700, 0.85 
3800, 0.87 
3900, 0.84 
4000, 0.87 
4100, 0.91 
4200, 0.88 
4300, 0.88 
4400, 0.81 
4500, 0.91 
4600, 0.84 
4700, 0.93 
4800, 0.88 
4900, 0.92 
5000, 0.82 
5100, 0.95 
5200, 0.78 
5300, 0.87 
5400, 0.92 
5500, 0.93 
5600, 0.93 
5700, 0.91 
5800, 0.92 
5900, 0.95 
6000, 0.91 
6100, 0.95 
6200, 0.9 
6300, 0.91 
6400, 0.86 
6500, 0.9 
6600, 0.91 
6700, 0.9 
6800, 0.91 
6900, 0.93 
7000, 0.96 
7100, 0.9 
7200, 0.86 
7300, 0.91 
7400, 0.93 
7500, 0.9 
7600, 0.94 
7700, 0.94 
7800, 0.96 
7900, 0.88 
8000, 0.93 
8100, 0.91 
8200, 0.93 
8300, 0.93 
8400, 0.9 
8500, 0.91 
8600, 0.91 
8700, 0.94 
8800, 0.88 
8900, 0.94 
9000, 0.86 
9100, 0.96 
9200, 0.93 
9300, 0.93 
9400, 0.97 
9500, 0.92 
9600, 0.95 
9700, 0.91 
9800, 0.9 
9900, 0.96 
10000, 0.92 
10100, 0.88 
10200, 0.93 
10300, 0.93 
10400, 0.95 
10500, 0.95 
10600, 0.89 
10700, 0.95 
10800, 0.93 
10900, 0.91 
11000, 0.94 
11100, 0.94 
11200, 0.94 
11300, 0.88 
11400, 0.95 
11500, 0.95 
11600, 0.93 
11700, 0.96 
11800, 0.96 
11900, 0.93 
12000, 0.93 
12100, 0.96 
12200, 0.99 
12300, 0.96 
12400, 0.96 
12500, 0.92 
12600, 0.92 
12700, 0.98 
12800, 0.96 
12900, 0.95 
13000, 0.98 
13100, 0.92 
13200, 0.95 
13300, 0.94 
13400, 0.9 
13500, 0.94 
13600, 0.96 
13700, 0.94 
13800, 0.95 
13900, 0.96 
14000, 0.97 
14100, 0.95 
14200, 0.93 
14300, 0.94 
14400, 0.96 
14500, 0.94 
14600, 0.88 
14700, 0.95 
14800, 0.92 
14900, 0.96 
