步数,精度
0, 0.05 
100, 0.18 
200, 0.13 
300, 0.16 
400, 0.4 
500, 0.47 
600, 0.6 
700, 0.62 
800, 0.64 
900, 0.66 
1000, 0.62 
1100, 0.66 
1200, 0.69 
1300, 0.77 
1400, 0.72 
1500, 0.67 
1600, 0.66 
1700, 0.69 
1800, 0.55 
1900, 0.69 
2000, 0.65 
2100, 0.68 
2200, 0.68 
2300, 0.7 
2400, 0.67 
2500, 0.65 
2600, 0.71 
2700, 0.65 
2800, 0.74 
2900, 0.71 
3000, 0.77 
3100, 0.7 
3200, 0.7 
3300, 0.63 
3400, 0.76 
3500, 0.67 
3600, 0.7 
3700, 0.64 
3800, 0.68 
3900, 0.74 
4000, 0.74 
4100, 0.79 
4200, 0.7 
4300, 0.73 
4400, 0.72 
4500, 0.67 
4600, 0.65 
4700, 0.7 
4800, 0.65 
4900, 0.79 
5000, 0.72 
5100, 0.65 
5200, 0.77 
5300, 0.73 
5400, 0.77 
5500, 0.69 
5600, 0.83 
5700, 0.76 
5800, 0.75 
5900, 0.78 
6000, 0.77 
6100, 0.79 
6200, 0.74 
6300, 0.73 
6400, 0.82 
6500, 0.83 
6600, 0.8 
6700, 0.79 
6800, 0.85 
6900, 0.74 
7000, 0.86 
7100, 0.8 
7200, 0.81 
7300, 0.9 
7400, 0.86 
7500, 0.84 
7600, 0.9 
7700, 0.82 
7800, 0.75 
7900, 0.78 
8000, 0.85 
8100, 0.78 
8200, 0.89 
8300, 0.89 
8400, 0.86 
8500, 0.83 
8600, 0.93 
8700, 0.89 
8800, 0.9 
8900, 0.9 
9000, 0.88 
9100, 0.89 
9200, 0.89 
9300, 0.85 
9400, 0.97 
9500, 0.89 
9600, 0.94 
9700, 0.92 
9800, 0.91 
9900, 0.87 
10000, 0.9 
10100, 0.94 
10200, 0.89 
10300, 0.92 
10400, 0.91 
10500, 0.88 
10600, 0.92 
10700, 0.9 
10800, 0.87 
10900, 0.92 
11000, 0.9 
11100, 0.96 
11200, 0.87 
11300, 0.95 
11400, 0.9 
11500, 0.94 
11600, 0.94 
11700, 0.91 
11800, 0.94 
11900, 0.91 
12000, 0.94 
12100, 0.92 
12200, 0.86 
12300, 0.9 
12400, 0.94 
12500, 0.87 
12600, 0.96 
12700, 0.88 
12800, 0.9 
12900, 0.92 
13000, 0.91 
13100, 0.93 
13200, 0.97 
13300, 0.94 
13400, 0.95 
13500, 0.91 
13600, 0.92 
13700, 0.94 
13800, 0.89 
13900, 0.87 
14000, 0.92 
14100, 0.94 
14200, 0.96 
14300, 0.98 
14400, 0.95 
14500, 0.95 
14600, 0.95 
14700, 0.93 
14800, 0.93 
14900, 0.92 
