步数,精度
0, 0.06 
100, 0.16 
200, 0.18 
300, 0.18 
400, 0.13 
500, 0.39 
600, 0.54 
700, 0.61 
800, 0.61 
900, 0.72 
1000, 0.6 
1100, 0.63 
1200, 0.67 
1300, 0.63 
1400, 0.65 
1500, 0.68 
1600, 0.74 
1700, 0.62 
1800, 0.67 
1900, 0.66 
2000, 0.6 
2100, 0.7 
2200, 0.78 
2300, 0.69 
2400, 0.68 
2500, 0.79 
2600, 0.67 
2700, 0.63 
2800, 0.59 
2900, 0.72 
3000, 0.73 
3100, 0.68 
3200, 0.77 
3300, 0.76 
3400, 0.7 
3500, 0.75 
3600, 0.69 
3700, 0.71 
3800, 0.76 
3900, 0.82 
4000, 0.72 
4100, 0.65 
4200, 0.8 
4300, 0.76 
4400, 0.79 
4500, 0.7 
4600, 0.69 
4700, 0.71 
4800, 0.8 
4900, 0.76 
5000, 0.73 
5100, 0.65 
5200, 0.77 
5300, 0.72 
5400, 0.74 
5500, 0.78 
5600, 0.76 
5700, 0.73 
5800, 0.82 
5900, 0.75 
6000, 0.76 
6100, 0.75 
6200, 0.72 
6300, 0.77 
6400, 0.81 
6500, 0.88 
6600, 0.88 
6700, 0.78 
6800, 0.86 
6900, 0.87 
7000, 0.79 
7100, 0.86 
7200, 0.85 
7300, 0.92 
7400, 0.88 
7500, 0.93 
7600, 0.9 
7700, 0.9 
7800, 0.87 
7900, 0.92 
8000, 0.89 
8100, 0.92 
8200, 0.84 
8300, 0.88 
8400, 0.87 
8500, 0.92 
8600, 0.95 
8700, 0.91 
8800, 0.82 
8900, 0.88 
9000, 0.95 
9100, 0.79 
9200, 0.93 
9300, 0.87 
9400, 0.91 
9500, 0.94 
9600, 0.95 
9700, 0.87 
9800, 0.96 
9900, 0.91 
10000, 0.95 
10100, 0.88 
10200, 0.94 
10300, 0.94 
10400, 0.92 
10500, 0.92 
10600, 0.87 
10700, 0.87 
10800, 0.93 
10900, 0.94 
11000, 0.94 
11100, 0.94 
11200, 0.9 
11300, 0.94 
11400, 0.93 
11500, 0.94 
11600, 0.88 
11700, 0.94 
11800, 0.89 
11900, 0.96 
12000, 0.96 
12100, 0.97 
12200, 0.95 
12300, 0.93 
12400, 0.9 
12500, 0.94 
12600, 0.87 
12700, 0.95 
12800, 0.91 
12900, 0.96 
13000, 0.92 
13100, 0.97 
13200, 0.88 
13300, 0.93 
13400, 0.92 
13500, 0.96 
13600, 0.93 
13700, 0.95 
13800, 0.89 
13900, 0.96 
14000, 0.91 
14100, 0.9 
14200, 0.96 
14300, 0.96 
14400, 0.91 
14500, 1 
14600, 0.92 
14700, 0.89 
14800, 0.94 
14900, 0.95 
