步数,精度
0, 0.09 
100, 0.19 
200, 0.15 
300, 0.11 
400, 0.36 
500, 0.54 
600, 0.66 
700, 0.58 
800, 0.61 
900, 0.65 
1000, 0.64 
1100, 0.65 
1200, 0.7 
1300, 0.73 
1400, 0.73 
1500, 0.71 
1600, 0.65 
1700, 0.68 
1800, 0.64 
1900, 0.58 
2000, 0.66 
2100, 0.69 
2200, 0.68 
2300, 0.77 
2400, 0.65 
2500, 0.75 
2600, 0.73 
2700, 0.72 
2800, 0.66 
2900, 0.68 
3000, 0.76 
3100, 0.66 
3200, 0.62 
3300, 0.76 
3400, 0.75 
3500, 0.71 
3600, 0.72 
3700, 0.73 
3800, 0.71 
3900, 0.77 
4000, 0.7 
4100, 0.68 
4200, 0.62 
4300, 0.74 
4400, 0.7 
4500, 0.75 
4600, 0.7 
4700, 0.79 
4800, 0.83 
4900, 0.74 
5000, 0.83 
5100, 0.73 
5200, 0.73 
5300, 0.75 
5400, 0.8 
5500, 0.74 
5600, 0.78 
5700, 0.78 
5800, 0.68 
5900, 0.77 
6000, 0.83 
6100, 0.82 
6200, 0.74 
6300, 0.8 
6400, 0.82 
6500, 0.8 
6600, 0.81 
6700, 0.81 
6800, 0.79 
6900, 0.78 
7000, 0.84 
7100, 0.79 
7200, 0.86 
7300, 0.85 
7400, 0.82 
7500, 0.87 
7600, 0.86 
7700, 0.85 
7800, 0.86 
7900, 0.89 
8000, 0.86 
8100, 0.92 
8200, 0.87 
8300, 0.88 
8400, 0.84 
8500, 0.87 
8600, 0.85 
8700, 0.91 
8800, 0.91 
8900, 0.88 
9000, 0.91 
9100, 0.93 
9200, 0.93 
9300, 0.92 
9400, 0.93 
9500, 0.91 
9600, 0.9 
9700, 0.9 
9800, 0.93 
9900, 0.92 
10000, 0.87 
10100, 0.94 
10200, 0.93 
10300, 0.9 
10400, 0.9 
10500, 0.86 
10600, 0.92 
10700, 0.95 
10800, 0.93 
10900, 0.91 
11000, 0.92 
11100, 0.94 
11200, 0.82 
11300, 0.94 
11400, 0.92 
11500, 0.94 
11600, 0.88 
11700, 0.93 
11800, 0.89 
11900, 0.95 
12000, 0.93 
12100, 0.92 
12200, 0.93 
12300, 0.93 
12400, 0.95 
12500, 0.91 
12600, 0.95 
12700, 0.93 
12800, 0.88 
12900, 0.89 
13000, 0.96 
13100, 0.93 
13200, 0.92 
13300, 0.93 
13400, 0.96 
13500, 0.92 
13600, 0.89 
13700, 0.96 
13800, 0.92 
13900, 0.88 
14000, 0.94 
14100, 0.97 
14200, 0.97 
14300, 0.94 
14400, 0.92 
14500, 0.88 
14600, 0.94 
14700, 0.92 
14800, 0.93 
14900, 0.97 
