步数,精度
0, 0.05 
100, 0.25 
200, 0.26 
300, 0.29 
400, 0.5 
500, 0.6 
600, 0.68 
700, 0.63 
800, 0.68 
900, 0.65 
1000, 0.72 
1100, 0.62 
1200, 0.72 
1300, 0.62 
1400, 0.63 
1500, 0.62 
1600, 0.69 
1700, 0.75 
1800, 0.72 
1900, 0.68 
2000, 0.73 
2100, 0.74 
2200, 0.77 
2300, 0.76 
2400, 0.74 
2500, 0.77 
2600, 0.7 
2700, 0.68 
2800, 0.69 
2900, 0.77 
3000, 0.73 
3100, 0.65 
3200, 0.78 
3300, 0.83 
3400, 0.71 
3500, 0.73 
3600, 0.73 
3700, 0.78 
3800, 0.76 
3900, 0.75 
4000, 0.69 
4100, 0.8 
4200, 0.8 
4300, 0.74 
4400, 0.76 
4500, 0.84 
4600, 0.7 
4700, 0.79 
4800, 0.81 
4900, 0.82 
5000, 0.82 
5100, 0.8 
5200, 0.88 
5300, 0.75 
5400, 0.79 
5500, 0.87 
5600, 0.78 
5700, 0.82 
5800, 0.83 
5900, 0.88 
6000, 0.9 
6100, 0.87 
6200, 0.91 
6300, 0.82 
6400, 0.86 
6500, 0.91 
6600, 0.86 
6700, 0.89 
6800, 0.92 
6900, 0.92 
7000, 0.92 
7100, 0.94 
7200, 0.89 
7300, 0.94 
7400, 0.96 
7500, 0.93 
7600, 0.87 
7700, 0.92 
7800, 0.96 
7900, 0.88 
8000, 0.88 
8100, 0.95 
8200, 0.9 
8300, 0.89 
8400, 0.84 
8500, 0.92 
8600, 0.97 
8700, 0.92 
8800, 0.96 
8900, 0.9 
9000, 0.93 
9100, 0.94 
9200, 0.93 
9300, 0.94 
9400, 0.98 
9500, 0.96 
9600, 0.95 
9700, 0.95 
9800, 0.91 
9900, 0.94 
10000, 0.93 
10100, 0.98 
10200, 0.96 
10300, 0.95 
10400, 0.95 
10500, 0.92 
10600, 0.91 
10700, 0.91 
10800, 0.98 
10900, 0.93 
11000, 0.94 
11100, 0.9 
11200, 0.95 
11300, 0.96 
11400, 0.86 
11500, 0.96 
11600, 0.96 
11700, 0.98 
11800, 0.97 
11900, 0.96 
12000, 0.97 
12100, 0.96 
12200, 0.99 
12300, 0.96 
12400, 0.97 
12500, 0.99 
12600, 0.93 
12700, 1 
12800, 0.98 
12900, 0.98 
13000, 0.95 
13100, 0.99 
13200, 0.95 
13300, 0.96 
13400, 0.97 
13500, 0.97 
13600, 0.98 
13700, 0.96 
13800, 0.99 
13900, 0.97 
14000, 0.97 
14100, 0.96 
14200, 0.99 
14300, 0.97 
14400, 0.99 
14500, 0.98 
14600, 0.99 
14700, 0.96 
14800, 0.99 
14900, 0.98 
