步数,精度
0, 0 
100, 0.18 
200, 0.1 
300, 0.15 
400, 0.4 
500, 0.64 
600, 0.68 
700, 0.68 
800, 0.55 
900, 0.64 
1000, 0.68 
1100, 0.61 
1200, 0.64 
1300, 0.72 
1400, 0.62 
1500, 0.66 
1600, 0.65 
1700, 0.72 
1800, 0.61 
1900, 0.64 
2000, 0.63 
2100, 0.59 
2200, 0.51 
2300, 0.68 
2400, 0.7 
2500, 0.73 
2600, 0.69 
2700, 0.7 
2800, 0.73 
2900, 0.66 
3000, 0.7 
3100, 0.69 
3200, 0.7 
3300, 0.68 
3400, 0.73 
3500, 0.74 
3600, 0.76 
3700, 0.71 
3800, 0.71 
3900, 0.74 
4000, 0.74 
4100, 0.71 
4200, 0.79 
4300, 0.68 
4400, 0.74 
4500, 0.68 
4600, 0.67 
4700, 0.65 
4800, 0.71 
4900, 0.68 
5000, 0.7 
5100, 0.67 
5200, 0.8 
5300, 0.65 
5400, 0.73 
5500, 0.73 
5600, 0.72 
5700, 0.65 
5800, 0.83 
5900, 0.71 
6000, 0.75 
6100, 0.75 
6200, 0.78 
6300, 0.77 
6400, 0.75 
6500, 0.77 
6600, 0.8 
6700, 0.73 
6800, 0.78 
6900, 0.72 
7000, 0.79 
7100, 0.87 
7200, 0.87 
7300, 0.79 
7400, 0.79 
7500, 0.83 
7600, 0.86 
7700, 0.83 
7800, 0.87 
7900, 0.9 
8000, 0.89 
8100, 0.87 
8200, 0.59 
8300, 0.84 
8400, 0.9 
8500, 0.86 
8600, 0.88 
8700, 0.86 
8800, 0.85 
8900, 0.91 
9000, 0.86 
9100, 0.87 
9200, 0.88 
9300, 0.86 
9400, 0.89 
9500, 0.87 
9600, 0.92 
9700, 0.88 
9800, 0.88 
9900, 0.9 
10000, 0.92 
10100, 0.92 
10200, 0.89 
10300, 0.91 
10400, 0.84 
10500, 0.92 
10600, 0.86 
10700, 0.97 
10800, 0.94 
10900, 0.91 
11000, 0.86 
11100, 0.88 
11200, 0.96 
11300, 0.88 
11400, 0.9 
11500, 0.93 
11600, 0.92 
11700, 0.87 
11800, 0.92 
11900, 0.95 
12000, 0.91 
12100, 0.96 
12200, 0.9 
12300, 0.89 
12400, 0.88 
12500, 0.95 
12600, 0.9 
12700, 0.95 
12800, 0.94 
12900, 0.87 
13000, 0.98 
13100, 0.96 
13200, 0.93 
13300, 0.96 
13400, 0.93 
13500, 0.93 
13600, 0.94 
13700, 0.96 
13800, 0.89 
13900, 0.93 
14000, 0.95 
14100, 0.96 
14200, 0.92 
14300, 0.86 
14400, 0.92 
14500, 0.89 
14600, 0.93 
14700, 0.94 
14800, 0.99 
14900, 0.91 
