步数,精度
0, 0.06 
100, 0.15 
200, 0.17 
300, 0.17 
400, 0.5 
500, 0.48 
600, 0.67 
700, 0.59 
800, 0.64 
900, 0.67 
1000, 0.73 
1100, 0.66 
1200, 0.76 
1300, 0.68 
1400, 0.79 
1500, 0.72 
1600, 0.72 
1700, 0.72 
1800, 0.75 
1900, 0.68 
2000, 0.67 
2100, 0.71 
2200, 0.74 
2300, 0.71 
2400, 0.75 
2500, 0.73 
2600, 0.74 
2700, 0.74 
2800, 0.69 
2900, 0.73 
3000, 0.62 
3100, 0.73 
3200, 0.69 
3300, 0.74 
3400, 0.8 
3500, 0.78 
3600, 0.73 
3700, 0.78 
3800, 0.8 
3900, 0.71 
4000, 0.69 
4100, 0.79 
4200, 0.82 
4300, 0.72 
4400, 0.8 
4500, 0.79 
4600, 0.79 
4700, 0.72 
4800, 0.8 
4900, 0.76 
5000, 0.79 
5100, 0.69 
5200, 0.82 
5300, 0.85 
5400, 0.79 
5500, 0.85 
5600, 0.79 
5700, 0.83 
5800, 0.83 
5900, 0.86 
6000, 0.87 
6100, 0.77 
6200, 0.83 
6300, 0.88 
6400, 0.86 
6500, 0.91 
6600, 0.85 
6700, 0.83 
6800, 0.94 
6900, 0.84 
7000, 0.92 
7100, 0.84 
7200, 0.87 
7300, 0.87 
7400, 0.89 
7500, 0.89 
7600, 0.89 
7700, 0.87 
7800, 0.91 
7900, 0.88 
8000, 0.94 
8100, 0.97 
8200, 0.92 
8300, 0.92 
8400, 0.92 
8500, 0.92 
8600, 0.87 
8700, 0.91 
8800, 0.93 
8900, 0.95 
9000, 0.93 
9100, 0.93 
9200, 0.94 
9300, 0.85 
9400, 0.93 
9500, 0.96 
9600, 0.9 
9700, 0.94 
9800, 0.96 
9900, 0.96 
10000, 0.97 
10100, 0.91 
10200, 0.95 
10300, 0.94 
10400, 0.97 
10500, 0.96 
10600, 0.97 
10700, 0.93 
10800, 0.93 
10900, 0.89 
11000, 0.93 
11100, 0.97 
11200, 0.91 
11300, 0.95 
11400, 0.92 
11500, 0.95 
11600, 0.98 
11700, 0.98 
11800, 0.93 
11900, 0.99 
12000, 0.97 
12100, 0.86 
12200, 0.98 
12300, 0.97 
12400, 0.96 
12500, 0.93 
12600, 0.96 
12700, 0.95 
12800, 0.89 
12900, 0.96 
13000, 0.97 
13100, 0.96 
13200, 0.98 
13300, 0.95 
13400, 0.98 
13500, 0.94 
13600, 1 
13700, 1 
13800, 0.96 
13900, 0.96 
14000, 0.96 
14100, 0.97 
14200, 0.97 
14300, 1 
14400, 0.98 
14500, 0.95 
14600, 0.96 
14700, 0.97 
14800, 0.97 
14900, 0.98 
