步数,精度
0, 0.03 
100, 0.17 
200, 0.18 
300, 0.2 
400, 0.38 
500, 0.51 
600, 0.54 
700, 0.49 
800, 0.54 
900, 0.54 
1000, 0.64 
1100, 0.62 
1200, 0.68 
1300, 0.65 
1400, 0.54 
1500, 0.69 
1600, 0.62 
1700, 0.63 
1800, 0.57 
1900, 0.72 
2000, 0.63 
2100, 0.64 
2200, 0.69 
2300, 0.69 
2400, 0.67 
2500, 0.69 
2600, 0.67 
2700, 0.65 
2800, 0.7 
2900, 0.65 
3000, 0.63 
3100, 0.65 
3200, 0.67 
3300, 0.65 
3400, 0.68 
3500, 0.72 
3600, 0.72 
3700, 0.65 
3800, 0.64 
3900, 0.69 
4000, 0.64 
4100, 0.68 
4200, 0.68 
4300, 0.75 
4400, 0.68 
4500, 0.7 
4600, 0.64 
4700, 0.73 
4800, 0.71 
4900, 0.73 
5000, 0.65 
5100, 0.64 
5200, 0.69 
5300, 0.82 
5400, 0.64 
5500, 0.73 
5600, 0.7 
5700, 0.71 
5800, 0.7 
5900, 0.7 
6000, 0.74 
6100, 0.72 
6200, 0.73 
6300, 0.76 
6400, 0.67 
6500, 0.75 
6600, 0.72 
6700, 0.77 
6800, 0.69 
6900, 0.8 
7000, 0.77 
7100, 0.83 
7200, 0.73 
7300, 0.71 
7400, 0.75 
7500, 0.73 
7600, 0.79 
7700, 0.75 
7800, 0.83 
7900, 0.69 
8000, 0.79 
8100, 0.79 
8200, 0.78 
8300, 0.78 
8400, 0.74 
8500, 0.77 
8600, 0.75 
8700, 0.64 
8800, 0.77 
8900, 0.75 
9000, 0.86 
9100, 0.83 
9200, 0.78 
9300, 0.75 
9400, 0.86 
9500, 0.75 
9600, 0.84 
9700, 0.86 
9800, 0.8 
9900, 0.9 
10000, 0.92 
10100, 0.83 
10200, 0.88 
10300, 0.84 
10400, 0.85 
10500, 0.87 
10600, 0.86 
10700, 0.84 
10800, 0.81 
10900, 0.94 
11000, 0.88 
11100, 0.87 
11200, 0.84 
11300, 0.9 
11400, 0.85 
11500, 0.94 
11600, 0.89 
11700, 0.84 
11800, 0.89 
11900, 0.87 
12000, 0.84 
12100, 0.84 
12200, 0.86 
12300, 0.92 
12400, 0.92 
12500, 0.89 
12600, 0.9 
12700, 0.84 
12800, 0.9 
12900, 0.91 
13000, 0.93 
13100, 0.93 
13200, 0.94 
13300, 0.87 
13400, 0.88 
13500, 0.91 
13600, 0.91 
13700, 0.88 
13800, 0.89 
13900, 0.91 
14000, 0.95 
14100, 0.95 
14200, 0.94 
14300, 0.9 
14400, 0.95 
14500, 0.93 
14600, 0.87 
14700, 0.92 
14800, 0.94 
14900, 0.94 
