步数,精度
0, 0.14 
100, 0.14 
200, 0.3 
300, 0.62 
400, 0.68 
500, 0.54 
600, 0.63 
700, 0.58 
800, 0.69 
900, 0.7 
1000, 0.67 
1100, 0.61 
1200, 0.7 
1300, 0.59 
1400, 0.69 
1500, 0.68 
1600, 0.72 
1700, 0.7 
1800, 0.71 
1900, 0.69 
2000, 0.68 
2100, 0.7 
2200, 0.66 
2300, 0.71 
2400, 0.66 
2500, 0.74 
2600, 0.75 
2700, 0.71 
2800, 0.69 
2900, 0.6 
3000, 0.77 
3100, 0.8 
3200, 0.73 
3300, 0.75 
3400, 0.69 
3500, 0.77 
3600, 0.77 
3700, 0.76 
3800, 0.8 
3900, 0.77 
4000, 0.87 
4100, 0.71 
4200, 0.8 
4300, 0.78 
4400, 0.88 
4500, 0.83 
4600, 0.87 
4700, 0.93 
4800, 0.85 
4900, 0.85 
5000, 0.87 
5100, 0.86 
5200, 0.95 
5300, 0.91 
5400, 0.93 
5500, 0.91 
5600, 0.83 
5700, 0.87 
5800, 0.91 
5900, 0.9 
6000, 0.96 
6100, 0.91 
6200, 0.85 
6300, 0.93 
6400, 0.98 
6500, 0.83 
6600, 0.93 
6700, 0.86 
6800, 0.94 
6900, 0.88 
7000, 0.95 
7100, 0.87 
7200, 0.93 
7300, 0.94 
7400, 0.88 
7500, 0.94 
7600, 0.95 
7700, 0.95 
7800, 0.92 
7900, 0.94 
8000, 0.94 
8100, 0.91 
8200, 0.93 
8300, 0.92 
8400, 0.94 
8500, 0.85 
8600, 0.97 
8700, 0.96 
8800, 0.94 
8900, 0.93 
9000, 0.94 
9100, 0.95 
9200, 0.95 
9300, 0.92 
9400, 0.94 
9500, 0.97 
9600, 0.96 
9700, 0.98 
9800, 0.96 
9900, 0.96 
10000, 0.96 
10100, 0.89 
10200, 0.96 
10300, 0.95 
10400, 0.96 
10500, 0.95 
10600, 0.96 
10700, 0.98 
10800, 0.98 
10900, 0.97 
11000, 0.94 
11100, 0.9 
11200, 0.95 
11300, 0.97 
11400, 1 
11500, 0.98 
11600, 0.97 
11700, 0.96 
11800, 0.96 
11900, 0.99 
12000, 0.95 
12100, 0.97 
12200, 0.95 
12300, 0.94 
12400, 0.99 
12500, 0.96 
12600, 0.95 
12700, 0.98 
12800, 0.93 
12900, 0.95 
13000, 0.97 
13100, 0.94 
13200, 0.86 
13300, 0.93 
13400, 0.99 
13500, 0.96 
13600, 0.99 
13700, 0.95 
13800, 0.96 
13900, 0.95 
14000, 0.96 
14100, 0.96 
14200, 0.97 
14300, 0.96 
14400, 0.94 
14500, 0.98 
14600, 0.96 
14700, 0.99 
14800, 0.95 
14900, 0.97 
