步数,精度
0, 0 
100, 0.16 
200, 0.2 
300, 0.27 
400, 0.55 
500, 0.65 
600, 0.66 
700, 0.65 
800, 0.63 
900, 0.62 
1000, 0.78 
1100, 0.76 
1200, 0.74 
1300, 0.69 
1400, 0.69 
1500, 0.61 
1600, 0.7 
1700, 0.72 
1800, 0.71 
1900, 0.66 
2000, 0.71 
2100, 0.76 
2200, 0.71 
2300, 0.66 
2400, 0.83 
2500, 0.79 
2600, 0.75 
2700, 0.62 
2800, 0.82 
2900, 0.73 
3000, 0.71 
3100, 0.67 
3200, 0.76 
3300, 0.74 
3400, 0.76 
3500, 0.68 
3600, 0.73 
3700, 0.76 
3800, 0.75 
3900, 0.73 
4000, 0.75 
4100, 0.78 
4200, 0.82 
4300, 0.75 
4400, 0.74 
4500, 0.75 
4600, 0.69 
4700, 0.8 
4800, 0.78 
4900, 0.81 
5000, 0.83 
5100, 0.71 
5200, 0.72 
5300, 0.82 
5400, 0.84 
5500, 0.9 
5600, 0.9 
5700, 0.81 
5800, 0.85 
5900, 0.87 
6000, 0.86 
6100, 0.91 
6200, 0.9 
6300, 0.85 
6400, 0.87 
6500, 0.84 
6600, 0.89 
6700, 0.9 
6800, 0.9 
6900, 0.93 
7000, 0.93 
7100, 0.91 
7200, 0.92 
7300, 0.94 
7400, 0.92 
7500, 0.9 
7600, 0.96 
7700, 0.96 
7800, 0.94 
7900, 0.87 
8000, 0.95 
8100, 0.9 
8200, 0.95 
8300, 0.88 
8400, 0.94 
8500, 0.95 
8600, 0.96 
8700, 0.88 
8800, 0.85 
8900, 0.95 
9000, 0.94 
9100, 0.95 
9200, 0.94 
9300, 0.91 
9400, 0.92 
9500, 0.88 
9600, 0.93 
9700, 0.93 
9800, 0.93 
9900, 0.96 
10000, 0.96 
10100, 0.93 
10200, 0.95 
10300, 0.89 
10400, 0.92 
10500, 0.82 
10600, 0.96 
10700, 0.95 
10800, 0.96 
10900, 0.93 
11000, 0.95 
11100, 0.96 
11200, 0.93 
11300, 0.92 
11400, 0.98 
11500, 0.98 
11600, 0.89 
11700, 0.88 
11800, 0.93 
11900, 0.94 
12000, 0.94 
12100, 0.98 
12200, 0.92 
12300, 0.95 
12400, 0.97 
12500, 0.98 
12600, 0.95 
12700, 0.96 
12800, 0.98 
12900, 0.99 
13000, 0.92 
13100, 0.94 
13200, 0.96 
13300, 0.92 
13400, 0.97 
13500, 0.96 
13600, 0.98 
13700, 0.96 
13800, 0.96 
13900, 0.9 
14000, 0.94 
14100, 0.98 
14200, 0.98 
14300, 0.97 
14400, 0.98 
14500, 0.9 
14600, 0.95 
14700, 0.96 
14800, 0.96 
14900, 0.97 
