步数,精度
0, 0.05 
100, 0.19 
200, 0.13 
300, 0.19 
400, 0.15 
500, 0.34 
600, 0.46 
700, 0.56 
800, 0.62 
900, 0.63 
1000, 0.65 
1100, 0.66 
1200, 0.7 
1300, 0.65 
1400, 0.68 
1500, 0.75 
1600, 0.67 
1700, 0.67 
1800, 0.68 
1900, 0.72 
2000, 0.66 
2100, 0.69 
2200, 0.73 
2300, 0.71 
2400, 0.66 
2500, 0.68 
2600, 0.68 
2700, 0.68 
2800, 0.68 
2900, 0.69 
3000, 0.7 
3100, 0.73 
3200, 0.73 
3300, 0.66 
3400, 0.67 
3500, 0.78 
3600, 0.73 
3700, 0.67 
3800, 0.66 
3900, 0.65 
4000, 0.72 
4100, 0.71 
4200, 0.65 
4300, 0.68 
4400, 0.74 
4500, 0.73 
4600, 0.79 
4700, 0.72 
4800, 0.69 
4900, 0.77 
5000, 0.73 
5100, 0.74 
5200, 0.69 
5300, 0.74 
5400, 0.76 
5500, 0.82 
5600, 0.7 
5700, 0.71 
5800, 0.79 
5900, 0.77 
6000, 0.67 
6100, 0.74 
6200, 0.79 
6300, 0.71 
6400, 0.74 
6500, 0.81 
6600, 0.73 
6700, 0.84 
6800, 0.85 
6900, 0.73 
7000, 0.75 
7100, 0.7 
7200, 0.79 
7300, 0.75 
7400, 0.8 
7500, 0.86 
7600, 0.81 
7700, 0.76 
7800, 0.82 
7900, 0.82 
8000, 0.75 
8100, 0.79 
8200, 0.81 
8300, 0.67 
8400, 0.82 
8500, 0.79 
8600, 0.86 
8700, 0.86 
8800, 0.87 
8900, 0.9 
9000, 0.82 
9100, 0.83 
9200, 0.9 
9300, 0.86 
9400, 0.88 
9500, 0.89 
9600, 0.85 
9700, 0.86 
9800, 0.88 
9900, 0.87 
10000, 0.85 
10100, 0.87 
10200, 0.81 
10300, 0.86 
10400, 0.88 
10500, 0.87 
10600, 0.84 
10700, 0.87 
10800, 0.94 
10900, 0.91 
11000, 0.97 
11100, 0.86 
11200, 0.91 
11300, 0.94 
11400, 0.94 
11500, 0.86 
11600, 0.91 
11700, 0.92 
11800, 0.93 
11900, 0.88 
12000, 0.9 
12100, 0.93 
12200, 0.9 
12300, 0.88 
12400, 0.94 
12500, 0.96 
12600, 0.93 
12700, 0.94 
12800, 0.9 
12900, 0.87 
13000, 0.91 
13100, 0.95 
13200, 0.96 
13300, 0.93 
13400, 0.91 
13500, 0.93 
13600, 0.98 
13700, 0.89 
13800, 0.9 
13900, 0.89 
14000, 0.92 
14100, 0.96 
14200, 0.93 
14300, 0.94 
14400, 0.9 
14500, 0.93 
14600, 0.95 
14700, 0.88 
14800, 0.94 
14900, 0.97 
