步数,精度
0, 0.02 
100, 0.2 
200, 0.14 
300, 0.26 
400, 0.41 
500, 0.51 
600, 0.58 
700, 0.58 
800, 0.66 
900, 0.63 
1000, 0.65 
1100, 0.72 
1200, 0.67 
1300, 0.67 
1400, 0.67 
1500, 0.64 
1600, 0.62 
1700, 0.67 
1800, 0.73 
1900, 0.7 
2000, 0.63 
2100, 0.77 
2200, 0.66 
2300, 0.74 
2400, 0.74 
2500, 0.74 
2600, 0.74 
2700, 0.7 
2800, 0.73 
2900, 0.72 
3000, 0.78 
3100, 0.67 
3200, 0.75 
3300, 0.74 
3400, 0.8 
3500, 0.73 
3600, 0.66 
3700, 0.82 
3800, 0.74 
3900, 0.71 
4000, 0.81 
4100, 0.73 
4200, 0.76 
4300, 0.76 
4400, 0.78 
4500, 0.76 
4600, 0.76 
4700, 0.84 
4800, 0.8 
4900, 0.76 
5000, 0.81 
5100, 0.73 
5200, 0.71 
5300, 0.74 
5400, 0.78 
5500, 0.74 
5600, 0.71 
5700, 0.78 
5800, 0.73 
5900, 0.73 
6000, 0.83 
6100, 0.82 
6200, 0.77 
6300, 0.68 
6400, 0.79 
6500, 0.72 
6600, 0.88 
6700, 0.81 
6800, 0.78 
6900, 0.79 
7000, 0.89 
7100, 0.83 
7200, 0.83 
7300, 0.83 
7400, 0.9 
7500, 0.84 
7600, 0.85 
7700, 0.84 
7800, 0.84 
7900, 0.89 
8000, 0.85 
8100, 0.91 
8200, 0.9 
8300, 0.86 
8400, 0.89 
8500, 0.83 
8600, 0.89 
8700, 0.87 
8800, 0.87 
8900, 0.88 
9000, 0.87 
9100, 0.92 
9200, 0.86 
9300, 0.91 
9400, 0.81 
9500, 0.89 
9600, 0.9 
9700, 0.85 
9800, 0.86 
9900, 0.91 
10000, 0.93 
10100, 0.92 
10200, 0.83 
10300, 0.89 
10400, 0.91 
10500, 0.92 
10600, 0.93 
10700, 0.91 
10800, 0.76 
10900, 0.91 
11000, 0.88 
11100, 0.94 
11200, 0.92 
11300, 0.91 
11400, 0.94 
11500, 0.92 
11600, 0.96 
11700, 0.96 
11800, 0.94 
11900, 0.95 
12000, 0.9 
12100, 0.93 
12200, 0.93 
12300, 0.91 
12400, 0.9 
12500, 0.91 
12600, 0.92 
12700, 0.95 
12800, 0.85 
12900, 0.88 
13000, 0.86 
13100, 0.93 
13200, 0.92 
13300, 0.9 
13400, 0.93 
13500, 0.87 
13600, 0.93 
13700, 0.91 
13800, 0.86 
13900, 0.89 
14000, 0.98 
14100, 0.92 
14200, 0.94 
14300, 0.96 
14400, 0.94 
14500, 0.95 
14600, 0.93 
14700, 0.94 
14800, 0.95 
14900, 0.96 
