步数,精度
0, 0.11 
100, 0.16 
200, 0.19 
300, 0.33 
400, 0.6 
500, 0.57 
600, 0.64 
700, 0.67 
800, 0.62 
900, 0.6 
1000, 0.67 
1100, 0.69 
1200, 0.64 
1300, 0.69 
1400, 0.72 
1500, 0.68 
1600, 0.7 
1700, 0.71 
1800, 0.72 
1900, 0.74 
2000, 0.71 
2100, 0.73 
2200, 0.73 
2300, 0.79 
2400, 0.74 
2500, 0.75 
2600, 0.71 
2700, 0.71 
2800, 0.72 
2900, 0.77 
3000, 0.71 
3100, 0.8 
3200, 0.74 
3300, 0.77 
3400, 0.8 
3500, 0.78 
3600, 0.82 
3700, 0.83 
3800, 0.8 
3900, 0.88 
4000, 0.82 
4100, 0.81 
4200, 0.9 
4300, 0.86 
4400, 0.87 
4500, 0.87 
4600, 0.92 
4700, 0.93 
4800, 0.85 
4900, 0.92 
5000, 0.96 
5100, 0.92 
5200, 0.93 
5300, 0.94 
5400, 0.91 
5500, 0.93 
5600, 0.85 
5700, 0.89 
5800, 0.93 
5900, 0.9 
6000, 0.95 
6100, 0.92 
6200, 0.95 
6300, 0.91 
6400, 0.92 
6500, 0.94 
6600, 0.94 
6700, 0.93 
6800, 0.96 
6900, 0.93 
7000, 0.94 
7100, 0.86 
7200, 0.91 
7300, 0.92 
7400, 0.94 
7500, 0.89 
7600, 0.96 
7700, 0.94 
7800, 0.91 
7900, 0.98 
8000, 0.9 
8100, 0.91 
8200, 0.94 
8300, 0.93 
8400, 0.91 
8500, 0.98 
8600, 0.9 
8700, 0.95 
8800, 0.99 
8900, 0.94 
9000, 0.94 
9100, 0.9 
9200, 0.96 
9300, 0.93 
9400, 0.96 
9500, 0.97 
9600, 0.96 
9700, 0.92 
9800, 0.96 
9900, 0.89 
10000, 0.96 
10100, 0.97 
10200, 0.99 
10300, 0.99 
10400, 0.97 
10500, 0.95 
10600, 0.98 
10700, 0.98 
10800, 0.93 
10900, 0.97 
11000, 0.96 
11100, 0.97 
11200, 0.97 
11300, 0.94 
11400, 0.98 
11500, 0.99 
11600, 0.98 
11700, 0.96 
11800, 0.96 
11900, 0.98 
12000, 0.98 
12100, 0.91 
12200, 0.99 
12300, 0.96 
12400, 0.97 
12500, 0.99 
12600, 0.92 
12700, 0.97 
12800, 0.96 
12900, 0.97 
13000, 0.98 
13100, 0.95 
13200, 0.97 
13300, 0.88 
13400, 0.98 
13500, 0.96 
13600, 0.97 
13700, 0.92 
13800, 0.98 
13900, 1 
14000, 0.99 
14100, 0.97 
14200, 0.96 
14300, 0.95 
14400, 0.98 
14500, 0.98 
14600, 0.96 
14700, 0.98 
14800, 0.86 
14900, 0.97 
