步数,精度
0, 0.03 
100, 0.21 
200, 0.19 
300, 0.16 
400, 0.26 
500, 0.46 
600, 0.58 
700, 0.64 
800, 0.63 
900, 0.68 
1000, 0.64 
1100, 0.71 
1200, 0.66 
1300, 0.62 
1400, 0.62 
1500, 0.6 
1600, 0.66 
1700, 0.65 
1800, 0.71 
1900, 0.61 
2000, 0.64 
2100, 0.63 
2200, 0.75 
2300, 0.7 
2400, 0.75 
2500, 0.7 
2600, 0.69 
2700, 0.72 
2800, 0.79 
2900, 0.7 
3000, 0.71 
3100, 0.63 
3200, 0.66 
3300, 0.71 
3400, 0.66 
3500, 0.77 
3600, 0.73 
3700, 0.75 
3800, 0.7 
3900, 0.71 
4000, 0.65 
4100, 0.76 
4200, 0.75 
4300, 0.79 
4400, 0.63 
4500, 0.74 
4600, 0.73 
4700, 0.73 
4800, 0.7 
4900, 0.65 
5000, 0.72 
5100, 0.65 
5200, 0.77 
5300, 0.8 
5400, 0.73 
5500, 0.78 
5600, 0.79 
5700, 0.75 
5800, 0.68 
5900, 0.8 
6000, 0.69 
6100, 0.73 
6200, 0.73 
6300, 0.76 
6400, 0.7 
6500, 0.75 
6600, 0.68 
6700, 0.8 
6800, 0.75 
6900, 0.71 
7000, 0.81 
7100, 0.68 
7200, 0.79 
7300, 0.72 
7400, 0.71 
7500, 0.8 
7600, 0.8 
7700, 0.79 
7800, 0.75 
7900, 0.76 
8000, 0.76 
8100, 0.74 
8200, 0.76 
8300, 0.76 
8400, 0.78 
8500, 0.77 
8600, 0.74 
8700, 0.78 
8800, 0.8 
8900, 0.82 
9000, 0.77 
9100, 0.76 
9200, 0.79 
9300, 0.64 
9400, 0.84 
9500, 0.81 
9600, 0.81 
9700, 0.81 
9800, 0.85 
9900, 0.82 
10000, 0.91 
10100, 0.87 
10200, 0.91 
10300, 0.85 
10400, 0.89 
10500, 0.84 
10600, 0.92 
10700, 0.8 
10800, 0.89 
10900, 0.87 
11000, 0.85 
11100, 0.88 
11200, 0.85 
11300, 0.84 
11400, 0.86 
11500, 0.82 
11600, 0.92 
11700, 0.79 
11800, 0.88 
11900, 0.88 
12000, 0.88 
12100, 0.89 
12200, 0.91 
12300, 0.85 
12400, 0.95 
12500, 0.88 
12600, 0.86 
12700, 0.82 
12800, 0.92 
12900, 0.93 
13000, 0.91 
13100, 0.89 
13200, 0.88 
13300, 0.92 
13400, 0.89 
13500, 0.86 
13600, 0.93 
13700, 0.89 
13800, 0.88 
13900, 0.92 
14000, 0.9 
14100, 0.9 
14200, 0.9 
14300, 0.94 
14400, 0.9 
14500, 0.88 
14600, 0.91 
14700, 0.87 
14800, 0.92 
14900, 0.92 
