步数,精度
0, 0.07 
100, 0.23 
200, 0.19 
300, 0.23 
400, 0.49 
500, 0.6 
600, 0.53 
700, 0.61 
800, 0.66 
900, 0.72 
1000, 0.54 
1100, 0.54 
1200, 0.71 
1300, 0.68 
1400, 0.67 
1500, 0.71 
1600, 0.7 
1700, 0.71 
1800, 0.63 
1900, 0.64 
2000, 0.79 
2100, 0.72 
2200, 0.75 
2300, 0.61 
2400, 0.68 
2500, 0.74 
2600, 0.66 
2700, 0.77 
2800, 0.62 
2900, 0.7 
3000, 0.73 
3100, 0.75 
3200, 0.65 
3300, 0.76 
3400, 0.73 
3500, 0.71 
3600, 0.71 
3700, 0.78 
3800, 0.77 
3900, 0.8 
4000, 0.78 
4100, 0.76 
4200, 0.77 
4300, 0.81 
4400, 0.89 
4500, 0.84 
4600, 0.9 
4700, 0.82 
4800, 0.81 
4900, 0.92 
5000, 0.86 
5100, 0.91 
5200, 0.92 
5300, 0.81 
5400, 0.82 
5500, 0.9 
5600, 0.74 
5700, 0.78 
5800, 0.9 
5900, 0.89 
6000, 0.86 
6100, 0.89 
6200, 0.9 
6300, 0.88 
6400, 0.91 
6500, 0.91 
6600, 0.89 
6700, 0.91 
6800, 0.87 
6900, 0.95 
7000, 0.94 
7100, 0.95 
7200, 0.95 
7300, 0.87 
7400, 0.79 
7500, 0.9 
7600, 0.89 
7700, 0.92 
7800, 0.89 
7900, 0.91 
8000, 0.92 
8100, 0.93 
8200, 0.89 
8300, 0.95 
8400, 0.9 
8500, 0.88 
8600, 0.88 
8700, 0.93 
8800, 0.94 
8900, 0.94 
9000, 0.9 
9100, 0.91 
9200, 0.93 
9300, 0.91 
9400, 0.89 
9500, 0.9 
9600, 0.92 
9700, 0.92 
9800, 0.98 
9900, 0.86 
10000, 0.94 
10100, 0.92 
10200, 0.97 
10300, 0.94 
10400, 0.99 
10500, 0.93 
10600, 0.91 
10700, 0.96 
10800, 0.94 
10900, 0.9 
11000, 0.97 
11100, 0.93 
11200, 0.96 
11300, 0.94 
11400, 0.85 
11500, 0.94 
11600, 0.94 
11700, 0.94 
11800, 0.87 
11900, 0.97 
12000, 0.95 
12100, 0.96 
12200, 0.96 
12300, 0.96 
12400, 0.94 
12500, 0.92 
12600, 0.96 
12700, 0.93 
12800, 0.92 
12900, 0.97 
13000, 0.95 
13100, 0.95 
13200, 0.96 
13300, 0.97 
13400, 0.98 
13500, 0.91 
13600, 0.96 
13700, 1 
13800, 0.98 
13900, 0.97 
14000, 0.96 
14100, 0.94 
14200, 0.97 
14300, 0.96 
14400, 0.85 
14500, 0.99 
14600, 0.95 
14700, 0.99 
14800, 0.96 
14900, 0.97 
