步数,精度
0, 0.04 
100, 0.19 
200, 0.21 
300, 0.31 
400, 0.56 
500, 0.6 
600, 0.64 
700, 0.59 
800, 0.64 
900, 0.64 
1000, 0.59 
1100, 0.63 
1200, 0.58 
1300, 0.61 
1400, 0.65 
1500, 0.7 
1600, 0.69 
1700, 0.73 
1800, 0.71 
1900, 0.68 
2000, 0.63 
2100, 0.62 
2200, 0.7 
2300, 0.69 
2400, 0.72 
2500, 0.72 
2600, 0.71 
2700, 0.7 
2800, 0.66 
2900, 0.72 
3000, 0.69 
3100, 0.79 
3200, 0.75 
3300, 0.63 
3400, 0.68 
3500, 0.64 
3600, 0.74 
3700, 0.71 
3800, 0.73 
3900, 0.7 
4000, 0.72 
4100, 0.69 
4200, 0.73 
4300, 0.81 
4400, 0.68 
4500, 0.69 
4600, 0.69 
4700, 0.77 
4800, 0.76 
4900, 0.76 
5000, 0.77 
5100, 0.69 
5200, 0.8 
5300, 0.8 
5400, 0.83 
5500, 0.7 
5600, 0.75 
5700, 0.74 
5800, 0.76 
5900, 0.88 
6000, 0.81 
6100, 0.87 
6200, 0.84 
6300, 0.85 
6400, 0.87 
6500, 0.82 
6600, 0.76 
6700, 0.89 
6800, 0.87 
6900, 0.88 
7000, 0.84 
7100, 0.91 
7200, 0.86 
7300, 0.86 
7400, 0.83 
7500, 0.84 
7600, 0.92 
7700, 0.91 
7800, 0.9 
7900, 0.95 
8000, 0.86 
8100, 0.92 
8200, 0.88 
8300, 0.91 
8400, 0.83 
8500, 0.95 
8600, 0.93 
8700, 0.94 
8800, 0.9 
8900, 0.9 
9000, 0.96 
9100, 0.85 
9200, 0.87 
9300, 0.92 
9400, 0.92 
9500, 0.96 
9600, 0.91 
9700, 0.89 
9800, 0.95 
9900, 0.91 
10000, 0.94 
10100, 0.85 
10200, 0.89 
10300, 0.95 
10400, 0.96 
10500, 0.93 
10600, 0.9 
10700, 0.96 
10800, 0.93 
10900, 0.91 
11000, 0.94 
11100, 0.94 
11200, 0.91 
11300, 0.94 
11400, 0.84 
11500, 0.96 
11600, 0.95 
11700, 0.91 
11800, 0.93 
11900, 0.89 
12000, 0.94 
12100, 0.94 
12200, 0.93 
12300, 0.93 
12400, 0.92 
12500, 0.95 
12600, 0.95 
12700, 0.92 
12800, 0.92 
12900, 0.98 
13000, 0.96 
13100, 0.92 
13200, 0.92 
13300, 0.9 
13400, 0.96 
13500, 0.98 
13600, 0.92 
13700, 0.96 
13800, 0.91 
13900, 0.93 
14000, 0.96 
14100, 0.93 
14200, 0.92 
14300, 0.99 
14400, 0.98 
14500, 0.94 
14600, 0.98 
14700, 0.99 
14800, 0.97 
14900, 0.93 
