步数,精度
0, 0 
100, 0.14 
200, 0.2 
300, 0.16 
400, 0.43 
500, 0.36 
600, 0.62 
700, 0.7 
800, 0.58 
900, 0.67 
1000, 0.66 
1100, 0.67 
1200, 0.62 
1300, 0.64 
1400, 0.68 
1500, 0.65 
1600, 0.75 
1700, 0.75 
1800, 0.63 
1900, 0.74 
2000, 0.71 
2100, 0.71 
2200, 0.75 
2300, 0.64 
2400, 0.64 
2500, 0.72 
2600, 0.7 
2700, 0.66 
2800, 0.73 
2900, 0.73 
3000, 0.77 
3100, 0.64 
3200, 0.73 
3300, 0.79 
3400, 0.73 
3500, 0.78 
3600, 0.79 
3700, 0.71 
3800, 0.75 
3900, 0.65 
4000, 0.83 
4100, 0.75 
4200, 0.71 
4300, 0.88 
4400, 0.82 
4500, 0.82 
4600, 0.86 
4700, 0.85 
4800, 0.9 
4900, 0.9 
5000, 0.85 
5100, 0.96 
5200, 0.87 
5300, 0.94 
5400, 0.86 
5500, 0.89 
5600, 0.89 
5700, 0.88 
5800, 0.9 
5900, 0.84 
6000, 0.92 
6100, 0.93 
6200, 0.91 
6300, 0.86 
6400, 0.93 
6500, 0.89 
6600, 0.95 
6700, 0.88 
6800, 0.88 
6900, 0.91 
7000, 0.96 
7100, 0.92 
7200, 0.91 
7300, 0.95 
7400, 0.95 
7500, 0.93 
7600, 0.92 
7700, 0.91 
7800, 0.96 
7900, 0.92 
8000, 0.96 
8100, 0.92 
8200, 0.95 
8300, 0.92 
8400, 0.95 
8500, 0.95 
8600, 0.96 
8700, 0.93 
8800, 0.95 
8900, 0.89 
9000, 0.96 
9100, 0.96 
9200, 0.96 
9300, 0.96 
9400, 0.96 
9500, 0.92 
9600, 0.95 
9700, 0.93 
9800, 0.9 
9900, 0.95 
10000, 0.96 
10100, 0.93 
10200, 0.98 
10300, 0.91 
10400, 0.98 
10500, 0.81 
10600, 0.95 
10700, 0.96 
10800, 0.96 
10900, 0.97 
11000, 0.92 
11100, 0.94 
11200, 0.95 
11300, 0.96 
11400, 0.99 
11500, 0.91 
11600, 0.96 
11700, 0.97 
11800, 0.96 
11900, 0.97 
12000, 0.94 
12100, 1 
12200, 1 
12300, 0.98 
12400, 0.99 
12500, 0.93 
12600, 0.91 
12700, 0.96 
12800, 0.95 
12900, 1 
13000, 0.99 
13100, 0.99 
13200, 0.99 
13300, 0.98 
13400, 0.97 
13500, 0.98 
13600, 0.97 
13700, 0.97 
13800, 0.98 
13900, 0.94 
14000, 1 
14100, 0.99 
14200, 0.99 
14300, 0.99 
14400, 1 
14500, 0.99 
14600, 0.98 
14700, 0.97 
14800, 0.97 
14900, 0.99 
