步数,精度
0, 0 
100, 0.09 
200, 0.16 
300, 0.19 
400, 0.13 
500, 0.4 
600, 0.54 
700, 0.56 
800, 0.64 
900, 0.7 
1000, 0.5 
1100, 0.7 
1200, 0.64 
1300, 0.68 
1400, 0.65 
1500, 0.67 
1600, 0.67 
1700, 0.68 
1800, 0.69 
1900, 0.67 
2000, 0.68 
2100, 0.64 
2200, 0.67 
2300, 0.77 
2400, 0.69 
2500, 0.63 
2600, 0.66 
2700, 0.71 
2800, 0.63 
2900, 0.67 
3000, 0.65 
3100, 0.71 
3200, 0.74 
3300, 0.74 
3400, 0.61 
3500, 0.74 
3600, 0.76 
3700, 0.61 
3800, 0.65 
3900, 0.77 
4000, 0.74 
4100, 0.66 
4200, 0.67 
4300, 0.74 
4400, 0.68 
4500, 0.67 
4600, 0.73 
4700, 0.68 
4800, 0.69 
4900, 0.74 
5000, 0.72 
5100, 0.74 
5200, 0.74 
5300, 0.74 
5400, 0.71 
5500, 0.75 
5600, 0.76 
5700, 0.73 
5800, 0.71 
5900, 0.81 
6000, 0.7 
6100, 0.64 
6200, 0.68 
6300, 0.73 
6400, 0.68 
6500, 0.74 
6600, 0.82 
6700, 0.73 
6800, 0.82 
6900, 0.72 
7000, 0.77 
7100, 0.74 
7200, 0.8 
7300, 0.78 
7400, 0.83 
7500, 0.74 
7600, 0.84 
7700, 0.75 
7800, 0.79 
7900, 0.82 
8000, 0.82 
8100, 0.81 
8200, 0.79 
8300, 0.85 
8400, 0.77 
8500, 0.83 
8600, 0.83 
8700, 0.85 
8800, 0.83 
8900, 0.82 
9000, 0.93 
9100, 0.86 
9200, 0.81 
9300, 0.83 
9400, 0.87 
9500, 0.84 
9600, 0.89 
9700, 0.87 
9800, 0.93 
9900, 0.83 
10000, 0.93 
10100, 0.9 
10200, 0.91 
10300, 0.88 
10400, 0.87 
10500, 0.91 
10600, 0.92 
10700, 0.94 
10800, 0.92 
10900, 0.96 
11000, 0.9 
11100, 0.9 
11200, 0.82 
11300, 0.91 
11400, 0.92 
11500, 0.89 
11600, 0.92 
11700, 0.95 
11800, 0.93 
11900, 0.9 
12000, 0.97 
12100, 0.88 
12200, 0.93 
12300, 0.91 
12400, 0.9 
12500, 0.92 
12600, 0.95 
12700, 0.91 
12800, 0.94 
12900, 0.94 
13000, 0.91 
13100, 0.94 
13200, 0.93 
13300, 0.93 
13400, 0.88 
13500, 0.88 
13600, 0.96 
13700, 0.94 
13800, 0.95 
13900, 0.94 
14000, 0.96 
14100, 0.94 
14200, 0.93 
14300, 0.92 
14400, 0.96 
14500, 0.93 
14600, 0.89 
14700, 0.93 
14800, 0.9 
14900, 0.9 
