步数,精度
0, 0.09 
100, 0.19 
200, 0.34 
300, 0.53 
400, 0.55 
500, 0.64 
600, 0.72 
700, 0.63 
800, 0.68 
900, 0.58 
1000, 0.67 
1100, 0.67 
1200, 0.67 
1300, 0.64 
1400, 0.68 
1500, 0.72 
1600, 0.67 
1700, 0.68 
1800, 0.69 
1900, 0.67 
2000, 0.7 
2100, 0.74 
2200, 0.66 
2300, 0.63 
2400, 0.69 
2500, 0.73 
2600, 0.74 
2700, 0.72 
2800, 0.73 
2900, 0.7 
3000, 0.79 
3100, 0.74 
3200, 0.75 
3300, 0.71 
3400, 0.79 
3500, 0.79 
3600, 0.8 
3700, 0.83 
3800, 0.78 
3900, 0.82 
4000, 0.85 
4100, 0.85 
4200, 0.88 
4300, 0.79 
4400, 0.85 
4500, 0.86 
4600, 0.89 
4700, 0.86 
4800, 0.83 
4900, 0.9 
5000, 0.88 
5100, 0.9 
5200, 0.89 
5300, 0.89 
5400, 0.94 
5500, 0.86 
5600, 0.93 
5700, 0.85 
5800, 0.9 
5900, 0.89 
6000, 0.92 
6100, 0.97 
6200, 0.91 
6300, 0.89 
6400, 0.95 
6500, 0.9 
6600, 0.92 
6700, 0.93 
6800, 0.9 
6900, 0.96 
7000, 0.95 
7100, 0.97 
7200, 0.96 
7300, 0.94 
7400, 0.97 
7500, 0.93 
7600, 0.97 
7700, 0.95 
7800, 0.91 
7900, 0.92 
8000, 0.91 
8100, 0.92 
8200, 0.91 
8300, 0.91 
8400, 0.94 
8500, 0.94 
8600, 0.95 
8700, 0.93 
8800, 0.9 
8900, 0.94 
9000, 0.96 
9100, 0.92 
9200, 0.97 
9300, 0.96 
9400, 0.98 
9500, 0.97 
9600, 0.98 
9700, 0.91 
9800, 0.97 
9900, 0.97 
10000, 0.96 
10100, 0.91 
10200, 0.95 
10300, 0.93 
10400, 0.94 
10500, 0.97 
10600, 0.99 
10700, 0.89 
10800, 0.9 
10900, 0.99 
11000, 1 
11100, 0.97 
11200, 0.91 
11300, 0.96 
11400, 0.94 
11500, 0.95 
11600, 0.95 
11700, 0.97 
11800, 0.99 
11900, 0.96 
12000, 0.96 
12100, 0.99 
12200, 0.96 
12300, 0.96 
12400, 0.98 
12500, 0.97 
12600, 0.98 
12700, 0.96 
12800, 0.98 
12900, 0.9 
13000, 0.98 
13100, 0.97 
13200, 0.92 
13300, 0.96 
13400, 0.99 
13500, 1 
13600, 0.96 
13700, 0.97 
13800, 0.99 
13900, 0.96 
14000, 0.99 
14100, 0.97 
14200, 0.97 
14300, 0.96 
14400, 0.97 
14500, 0.99 
14600, 1 
14700, 0.93 
14800, 1 
14900, 0.98 
