步数,精度
0, 0.0363636 
100, 0.181818 
200, 0.418182 
300, 0.709091 
400, 0.709091 
500, 0.763636 
600, 0.654545 
700, 0.727273 
800, 0.709091 
900, 0.763636 
1000, 0.854545 
1100, 0.745455 
1200, 0.818182 
1300, 0.890909 
1400, 0.781818 
1500, 0.890909 
1600, 0.8 
1700, 0.872727 
1800, 0.909091 
1900, 0.854545 
2000, 0.909091 
2100, 0.836364 
2200, 0.890909 
2300, 0.872727 
2400, 0.909091 
2500, 0.909091 
2600, 0.909091 
2700, 0.854545 
2800, 0.909091 
2900, 0.890909 
3000, 0.909091 
3100, 0.890909 
3200, 0.854545 
3300, 0.927273 
3400, 0.927273 
3500, 0.890909 
3600, 0.927273 
3700, 0.945454 
3800, 0.872727 
3900, 0.909091 
4000, 0.945454 
4100, 0.945454 
4200, 0.963636 
4300, 0.872727 
4400, 0.945455 
4500, 0.963636 
4600, 0.963636 
4700, 0.927273 
4800, 0.981818 
4900, 0.927273 
5000, 0.963636 
5100, 0.927273 
5200, 0.8 
5300, 0.927273 
5400, 0.945454 
5500, 0.963636 
5600, 0.927273 
5700, 0.945454 
5800, 0.927273 
5900, 0.909091 
6000, 0.927273 
6100, 0.927273 
6200, 0.981818 
6300, 0.963636 
6400, 0.945454 
6500, 0.927273 
6600, 0.981818 
6700, 0.963636 
6800, 0.945455 
6900, 0.945454 
7000, 0.963636 
7100, 0.963636 
7200, 0.963636 
7300, 0.981818 
7400, 1 
7500, 0.981818 
7600, 0.909091 
7700, 0.945455 
7800, 0.963636 
7900, 0.981818 
8000, 0.981818 
8100, 0.963636 
8200, 0.890909 
8300, 0.927273 
8400, 0.872727 
8500, 0.963636 
8600, 0.981818 
8700, 0.890909 
8800, 1 
8900, 0.927273 
9000, 1 
9100, 0.872727 
9200, 0.945455 
9300, 0.981818 
9400, 1 
9500, 1 
9600, 0.981818 
9700, 1 
9800, 1 
9900, 0.963636 
10000, 1 
10100, 0.963636 
10200, 1 
10300, 1 
10400, 1 
10500, 0.909091 
10600, 1 
10700, 1 
10800, 1 
10900, 0.981818 
11000, 0.981818 
11100, 1 
11200, 1 
11300, 1 
11400, 1 
11500, 1 
11600, 1 
11700, 1 
11800, 1 
11900, 1 
12000, 0.909091 
12100, 0.981818 
12200, 1 
12300, 1 
12400, 1 
12500, 0.927273 
12600, 1 
12700, 1 
12800, 1 
12900, 1 
13000, 1 
13100, 0.890909 
13200, 1 
13300, 1 
13400, 1 
13500, 1 
13600, 1 
13700, 1 
13800, 0.854545 
13900, 0.981818 
14000, 1 
14100, 0.927273 
14200, 1 
14300, 1 
14400, 1 
14500, 1 
14600, 1 
14700, 1 
14800, 1 
14900, 0.890909 
