步数,精度
0, 0.181818 
100, 0.181818 
200, 0.509091 
300, 0.581818 
400, 0.636364 
500, 0.709091 
600, 0.763636 
700, 0.781818 
800, 0.781818 
900, 0.781818 
1000, 0.818182 
1100, 0.8 
1200, 0.854545 
1300, 0.854545 
1400, 0.854545 
1500, 0.836364 
1600, 0.872727 
1700, 0.872727 
1800, 0.854545 
1900, 0.890909 
2000, 0.854545 
2100, 0.818182 
2200, 0.872727 
2300, 0.854545 
2400, 0.890909 
2500, 0.890909 
2600, 0.909091 
2700, 0.927273 
2800, 0.872727 
2900, 0.890909 
3000, 0.872727 
3100, 0.945454 
3200, 0.909091 
3300, 0.927273 
3400, 0.909091 
3500, 0.890909 
3600, 0.909091 
3700, 0.927273 
3800, 0.945454 
3900, 0.927273 
4000, 0.963636 
4100, 0.927273 
4200, 0.890909 
4300, 0.963636 
4400, 0.963636 
4500, 0.909091 
4600, 0.927273 
4700, 0.963636 
4800, 0.945454 
4900, 0.945454 
5000, 0.909091 
5100, 0.945455 
5200, 0.963636 
5300, 0.927273 
5400, 0.927273 
5500, 0.890909 
5600, 0.945455 
5700, 0.963636 
5800, 0.963636 
5900, 0.909091 
6000, 0.963636 
6100, 0.927273 
6200, 0.945454 
6300, 0.981818 
6400, 0.981818 
6500, 0.945455 
6600, 0.890909 
6700, 0.981818 
6800, 0.927273 
6900, 1 
7000, 0.8 
7100, 0.909091 
7200, 0.909091 
7300, 0.963636 
7400, 0.963636 
7500, 0.945455 
7600, 0.872727 
7700, 0.927273 
7800, 0.981818 
7900, 0.945454 
8000, 0.981818 
8100, 0.945454 
8200, 0.981818 
8300, 0.854545 
8400, 0.945454 
8500, 0.981818 
8600, 0.981818 
8700, 0.981818 
8800, 1 
8900, 1 
9000, 1 
9100, 1 
9200, 1 
9300, 1 
9400, 1 
9500, 0.981818 
9600, 1 
9700, 1 
9800, 1 
9900, 0.981818 
10000, 0.981818 
10100, 1 
10200, 0.945454 
10300, 0.963636 
10400, 0.981818 
10500, 1 
10600, 1 
10700, 0.981818 
10800, 1 
10900, 1 
11000, 0.981818 
11100, 1 
11200, 1 
11300, 1 
11400, 1 
11500, 0.981818 
11600, 1 
11700, 1 
11800, 1 
11900, 1 
12000, 1 
12100, 0.818182 
12200, 0.981818 
12300, 1 
12400, 1 
12500, 0.927273 
12600, 1 
12700, 0.963636 
12800, 1 
12900, 1 
13000, 1 
13100, 1 
13200, 1 
13300, 0.890909 
13400, 1 
13500, 0.963636 
13600, 1 
13700, 1 
13800, 1 
13900, 1 
14000, 1 
14100, 1 
14200, 1 
14300, 0.890909 
14400, 0.963636 
14500, 0.945454 
14600, 0.981818 
14700, 1 
14800, 1 
14900, 1 
