步数,精度
0, 0.109091 
100, 0.181818 
200, 0.290909 
300, 0.636364 
400, 0.654545 
500, 0.672727 
600, 0.690909 
700, 0.763636 
800, 0.781818 
900, 0.727273 
1000, 0.745455 
1100, 0.654545 
1200, 0.745455 
1300, 0.763636 
1400, 0.654545 
1500, 0.836364 
1600, 0.909091 
1700, 0.781818 
1800, 0.890909 
1900, 0.8 
2000, 0.872727 
2100, 0.818182 
2200, 0.854545 
2300, 0.890909 
2400, 0.854545 
2500, 0.890909 
2600, 0.945454 
2700, 0.890909 
2800, 0.945454 
2900, 0.963636 
3000, 0.909091 
3100, 0.945454 
3200, 0.927273 
3300, 0.963636 
3400, 0.909091 
3500, 0.818182 
3600, 0.963636 
3700, 0.909091 
3800, 0.963636 
3900, 0.927273 
4000, 0.963636 
4100, 0.963636 
4200, 0.981818 
4300, 0.963636 
4400, 0.963636 
4500, 0.963636 
4600, 0.890909 
4700, 0.963636 
4800, 0.981818 
4900, 0.909091 
5000, 0.636364 
5100, 0.981818 
5200, 0.963636 
5300, 0.981818 
5400, 1 
5500, 0.981818 
5600, 0.963636 
5700, 0.963636 
5800, 0.981818 
5900, 0.981818 
6000, 0.981818 
6100, 1 
6200, 1 
6300, 0.963636 
6400, 0.981818 
6500, 0.927273 
6600, 1 
6700, 1 
6800, 1 
6900, 1 
7000, 0.981818 
7100, 1 
7200, 0.763636 
7300, 1 
7400, 0.981818 
7500, 0.636364 
7600, 0.981818 
7700, 1 
7800, 1 
7900, 1 
8000, 1 
8100, 1 
8200, 1 
8300, 1 
8400, 0.981818 
8500, 1 
8600, 0.909091 
8700, 1 
8800, 0.818182 
8900, 1 
9000, 0.981818 
9100, 0.781818 
9200, 0.963636 
9300, 0.981818 
9400, 0.981818 
9500, 0.963636 
9600, 1 
9700, 1 
9800, 0.981818 
9900, 1 
10000, 1 
10100, 0.836364 
10200, 1 
10300, 1 
10400, 1 
10500, 1 
10600, 1 
10700, 0.927273 
10800, 1 
10900, 1 
11000, 1 
11100, 0.872727 
11200, 1 
11300, 1 
11400, 1 
11500, 1 
11600, 1 
11700, 1 
11800, 1 
11900, 1 
12000, 0.981818 
12100, 1 
12200, 0.981818 
12300, 1 
12400, 1 
12500, 1 
12600, 1 
12700, 1 
12800, 0.981818 
12900, 1 
13000, 1 
13100, 1 
13200, 0.963636 
13300, 1 
13400, 1 
13500, 1 
13600, 1 
13700, 1 
13800, 1 
13900, 1 
14000, 1 
14100, 1 
14200, 1 
14300, 1 
14400, 1 
14500, 0.981818 
14600, 1 
14700, 1 
14800, 1 
14900, 0.963636 
