步数,精度
0, 0.0909091 
100, 0.181818 
200, 0.290909 
300, 0.581818 
400, 0.581818 
500, 0.654545 
600, 0.745455 
700, 0.709091 
800, 0.745455 
900, 0.709091 
1000, 0.763636 
1100, 0.727273 
1200, 0.709091 
1300, 0.8 
1400, 0.836364 
1500, 0.8 
1600, 0.8 
1700, 0.818182 
1800, 0.818182 
1900, 0.872727 
2000, 0.872727 
2100, 0.781818 
2200, 0.836364 
2300, 0.890909 
2400, 0.818182 
2500, 0.854545 
2600, 0.909091 
2700, 0.872727 
2800, 0.890909 
2900, 0.909091 
3000, 0.836364 
3100, 0.872727 
3200, 0.890909 
3300, 0.909091 
3400, 0.890909 
3500, 0.927273 
3600, 0.854545 
3700, 0.890909 
3800, 0.909091 
3900, 0.890909 
4000, 0.909091 
4100, 0.890909 
4200, 0.836364 
4300, 0.945455 
4400, 0.854545 
4500, 0.909091 
4600, 0.890909 
4700, 0.927273 
4800, 0.909091 
4900, 0.927273 
5000, 0.872727 
5100, 0.890909 
5200, 0.945454 
5300, 0.909091 
5400, 0.872727 
5500, 0.945454 
5600, 0.945454 
5700, 0.945454 
5800, 0.909091 
5900, 0.927273 
6000, 0.927273 
6100, 0.927273 
6200, 0.927273 
6300, 0.927273 
6400, 0.945454 
6500, 0.927273 
6600, 0.927273 
6700, 0.945454 
6800, 0.945454 
6900, 0.945455 
7000, 0.854545 
7100, 0.945454 
7200, 0.963636 
7300, 0.909091 
7400, 0.927273 
7500, 0.872727 
7600, 0.963636 
7700, 0.927273 
7800, 0.909091 
7900, 0.963636 
8000, 0.945455 
8100, 0.963636 
8200, 0.927273 
8300, 0.963636 
8400, 0.927273 
8500, 0.945455 
8600, 0.945454 
8700, 0.963636 
8800, 0.981818 
8900, 0.945454 
9000, 0.963636 
9100, 0.981818 
9200, 0.927273 
9300, 0.945454 
9400, 0.927273 
9500, 0.963636 
9600, 0.945455 
9700, 0.872727 
9800, 0.981818 
9900, 0.963636 
10000, 1 
10100, 0.963636 
10200, 0.963636 
10300, 0.909091 
10400, 0.963636 
10500, 0.981818 
10600, 1 
10700, 0.981818 
10800, 0.963636 
10900, 0.981818 
11000, 1 
11100, 0.945455 
11200, 1 
11300, 0.981818 
11400, 0.981818 
11500, 0.963636 
11600, 0.945454 
11700, 0.963636 
11800, 1 
11900, 0.945455 
12000, 0.981818 
12100, 0.981818 
12200, 0.981818 
12300, 0.981818 
12400, 0.981818 
12500, 1 
12600, 0.963636 
12700, 1 
12800, 1 
12900, 1 
13000, 0.963636 
13100, 0.927273 
13200, 0.963636 
13300, 1 
13400, 0.963636 
13500, 1 
13600, 1 
13700, 1 
13800, 0.981818 
13900, 0.963636 
14000, 1 
14100, 1 
14200, 1 
14300, 0.963636 
14400, 1 
14500, 1 
14600, 1 
14700, 1 
14800, 1 
14900, 1 
