步数,精度
0, 0.109091 
100, 0.181818 
200, 0.4 
300, 0.654545 
400, 0.672727 
500, 0.581818 
600, 0.745455 
700, 0.745455 
800, 0.745455 
900, 0.709091 
1000, 0.727273 
1100, 0.8 
1200, 0.727273 
1300, 0.854545 
1400, 0.854545 
1500, 0.854545 
1600, 0.854545 
1700, 0.890909 
1800, 0.872727 
1900, 0.872727 
2000, 0.854545 
2100, 0.854545 
2200, 0.872727 
2300, 0.890909 
2400, 0.890909 
2500, 0.872727 
2600, 0.909091 
2700, 0.909091 
2800, 0.909091 
2900, 0.890909 
3000, 0.890909 
3100, 0.854545 
3200, 0.890909 
3300, 0.909091 
3400, 0.927273 
3500, 0.909091 
3600, 0.909091 
3700, 0.890909 
3800, 0.890909 
3900, 0.945454 
4000, 0.927273 
4100, 0.890909 
4200, 0.872727 
4300, 0.909091 
4400, 0.927273 
4500, 0.854545 
4600, 0.909091 
4700, 0.890909 
4800, 0.854545 
4900, 0.927273 
5000, 0.927273 
5100, 0.945454 
5200, 0.854545 
5300, 0.945455 
5400, 0.945454 
5500, 0.963636 
5600, 0.963636 
5700, 0.927273 
5800, 0.945454 
5900, 0.909091 
6000, 0.890909 
6100, 0.909091 
6200, 0.981818 
6300, 0.854545 
6400, 0.890909 
6500, 0.890909 
6600, 0.927273 
6700, 0.981818 
6800, 0.963636 
6900, 0.963636 
7000, 0.945454 
7100, 0.945454 
7200, 0.963636 
7300, 0.945454 
7400, 0.945454 
7500, 0.963636 
7600, 0.981818 
7700, 0.872727 
7800, 0.981818 
7900, 0.981818 
8000, 0.981818 
8100, 0.818182 
8200, 0.981818 
8300, 0.981818 
8400, 0.981818 
8500, 0.872727 
8600, 0.963636 
8700, 1 
8800, 1 
8900, 1 
9000, 0.927273 
9100, 1 
9200, 1 
9300, 1 
9400, 1 
9500, 0.981818 
9600, 1 
9700, 1 
9800, 1 
9900, 1 
10000, 1 
10100, 0.981818 
10200, 1 
10300, 1 
10400, 0.981818 
10500, 1 
10600, 1 
10700, 1 
10800, 0.945454 
10900, 1 
11000, 1 
11100, 1 
11200, 1 
11300, 1 
11400, 1 
11500, 1 
11600, 1 
11700, 1 
11800, 1 
11900, 0.963636 
12000, 1 
12100, 1 
12200, 1 
12300, 1 
12400, 0.927273 
12500, 1 
12600, 1 
12700, 1 
12800, 1 
12900, 0.927273 
13000, 1 
13100, 1 
13200, 1 
13300, 1 
13400, 0.836364 
13500, 0.963636 
13600, 1 
13700, 1 
13800, 1 
13900, 0.981818 
14000, 1 
14100, 1 
14200, 1 
14300, 1 
14400, 0.981818 
14500, 1 
14600, 1 
14700, 1 
14800, 1 
14900, 1 
