步数,精度
0, 0.0545455 
100, 0.181818 
200, 0.290909 
300, 0.6 
400, 0.581818 
500, 0.581818 
600, 0.436364 
700, 0.727273 
800, 0.727273 
900, 0.654545 
1000, 0.745455 
1100, 0.745455 
1200, 0.690909 
1300, 0.745455 
1400, 0.672727 
1500, 0.836364 
1600, 0.8 
1700, 0.781818 
1800, 0.854545 
1900, 0.8 
2000, 0.818182 
2100, 0.836364 
2200, 0.854545 
2300, 0.836364 
2400, 0.781818 
2500, 0.836364 
2600, 0.854545 
2700, 0.872727 
2800, 0.890909 
2900, 0.8 
3000, 0.890909 
3100, 0.8 
3200, 0.872727 
3300, 0.872727 
3400, 0.909091 
3500, 0.890909 
3600, 0.909091 
3700, 0.890909 
3800, 0.909091 
3900, 0.927273 
4000, 0.872727 
4100, 0.927273 
4200, 0.927273 
4300, 0.890909 
4400, 0.909091 
4500, 0.890909 
4600, 0.890909 
4700, 0.890909 
4800, 0.909091 
4900, 0.927273 
5000, 0.890909 
5100, 0.872727 
5200, 0.890909 
5300, 0.890909 
5400, 0.909091 
5500, 0.945454 
5600, 0.945454 
5700, 0.890909 
5800, 0.890909 
5900, 0.872727 
6000, 0.945454 
6100, 0.927273 
6200, 0.927273 
6300, 0.945454 
6400, 0.927273 
6500, 0.854545 
6600, 0.927273 
6700, 0.945455 
6800, 0.963636 
6900, 0.945454 
7000, 0.945454 
7100, 0.945454 
7200, 0.909091 
7300, 0.963636 
7400, 0.890909 
7500, 0.963636 
7600, 0.927273 
7700, 0.909091 
7800, 0.927273 
7900, 0.963636 
8000, 0.963636 
8100, 0.945454 
8200, 0.927273 
8300, 0.963636 
8400, 0.945454 
8500, 0.945454 
8600, 0.963636 
8700, 0.909091 
8800, 0.909091 
8900, 0.945454 
9000, 0.927273 
9100, 0.981818 
9200, 0.963636 
9300, 0.945454 
9400, 0.963636 
9500, 0.963636 
9600, 0.963636 
9700, 0.945454 
9800, 0.927273 
9900, 0.909091 
10000, 0.963636 
10100, 0.927273 
10200, 0.890909 
10300, 0.909091 
10400, 0.963636 
10500, 0.963636 
10600, 0.927273 
10700, 0.963636 
10800, 0.945454 
10900, 0.927273 
11000, 0.963636 
11100, 0.963636 
11200, 0.963636 
11300, 0.963636 
11400, 0.927273 
11500, 0.981818 
11600, 0.963636 
11700, 0.963636 
11800, 0.945455 
11900, 0.981818 
12000, 0.963636 
12100, 0.981818 
12200, 0.963636 
12300, 1 
12400, 0.945455 
12500, 0.872727 
12600, 0.963636 
12700, 0.981818 
12800, 0.909091 
12900, 0.981818 
13000, 0.963636 
13100, 1 
13200, 0.945454 
13300, 1 
13400, 0.945455 
13500, 0.981818 
13600, 0.909091 
13700, 1 
13800, 0.945454 
13900, 1 
14000, 1 
14100, 1 
14200, 0.981818 
14300, 0.945454 
14400, 0.963636 
14500, 1 
14600, 1 
14700, 0.981818 
14800, 0.981818 
14900, 0.981818 
