步数,精度
0, 0 
100, 0.181818 
200, 0.181818 
300, 0.181818 
400, 0.527273 
500, 0.545455 
600, 0.6 
700, 0.618182 
800, 0.636364 
900, 0.672727 
1000, 0.618182 
1100, 0.709091 
1200, 0.709091 
1300, 0.709091 
1400, 0.709091 
1500, 0.690909 
1600, 0.745455 
1700, 0.745455 
1800, 0.781818 
1900, 0.781818 
2000, 0.781818 
2100, 0.8 
2200, 0.763636 
2300, 0.8 
2400, 0.8 
2500, 0.836364 
2600, 0.836364 
2700, 0.818182 
2800, 0.836364 
2900, 0.8 
3000, 0.836364 
3100, 0.836364 
3200, 0.690909 
3300, 0.818182 
3400, 0.836364 
3500, 0.854545 
3600, 0.854545 
3700, 0.854545 
3800, 0.854545 
3900, 0.872727 
4000, 0.854545 
4100, 0.872727 
4200, 0.872727 
4300, 0.818182 
4400, 0.854545 
4500, 0.872727 
4600, 0.8 
4700, 0.854545 
4800, 0.745455 
4900, 0.854545 
5000, 0.854545 
5100, 0.890909 
5200, 0.872727 
5300, 0.872727 
5400, 0.872727 
5500, 0.872727 
5600, 0.872727 
5700, 0.872727 
5800, 0.890909 
5900, 0.854545 
6000, 0.872727 
6100, 0.872727 
6200, 0.872727 
6300, 0.890909 
6400, 0.836364 
6500, 0.890909 
6600, 0.890909 
6700, 0.872727 
6800, 0.818182 
6900, 0.890909 
7000, 0.890909 
7100, 0.872727 
7200, 0.854545 
7300, 0.909091 
7400, 0.890909 
7500, 0.909091 
7600, 0.890909 
7700, 0.890909 
7800, 0.945454 
7900, 0.909091 
8000, 0.890909 
8100, 0.890909 
8200, 0.872727 
8300, 0.890909 
8400, 0.945454 
8500, 0.927273 
8600, 0.909091 
8700, 0.909091 
8800, 0.945454 
8900, 0.927273 
9000, 0.927273 
9100, 0.927273 
9200, 0.927273 
9300, 0.890909 
9400, 0.945454 
9500, 0.927273 
9600, 0.945454 
9700, 0.927273 
9800, 0.945454 
9900, 0.909091 
10000, 0.927273 
10100, 0.927273 
10200, 0.945455 
10300, 0.945454 
10400, 0.927273 
10500, 0.945454 
10600, 0.945455 
10700, 0.872727 
10800, 0.945454 
10900, 0.890909 
11000, 0.909091 
11100, 0.945455 
11200, 0.945455 
11300, 0.945454 
11400, 0.963636 
11500, 0.963636 
11600, 0.945455 
11700, 0.963636 
11800, 0.963636 
11900, 0.909091 
12000, 0.909091 
12100, 0.981818 
12200, 0.963636 
12300, 0.927273 
12400, 0.945454 
12500, 0.945454 
12600, 0.981818 
12700, 0.890909 
12800, 0.945454 
12900, 0.981818 
13000, 0.981818 
13100, 0.927273 
13200, 0.981818 
13300, 0.981818 
13400, 0.981818 
13500, 0.963636 
13600, 0.945454 
13700, 0.981818 
13800, 1 
13900, 1 
14000, 1 
14100, 0.981818 
14200, 0.963636 
14300, 0.981818 
14400, 1 
14500, 0.909091 
14600, 0.981818 
14700, 0.963636 
14800, 1 
14900, 0.963636 
