步数,精度
0, 0.181818 
100, 0.181818 
200, 0.181818 
300, 0.290909 
400, 0.618182 
500, 0.709091 
600, 0.763636 
700, 0.727273 
800, 0.763636 
900, 0.763636 
1000, 0.745455 
1100, 0.763636 
1200, 0.745455 
1300, 0.745455 
1400, 0.763636 
1500, 0.781818 
1600, 0.709091 
1700, 0.745455 
1800, 0.818182 
1900, 0.8 
2000, 0.818182 
2100, 0.854545 
2200, 0.781818 
2300, 0.854545 
2400, 0.854545 
2500, 0.836364 
2600, 0.763636 
2700, 0.818182 
2800, 0.854545 
2900, 0.854545 
3000, 0.854545 
3100, 0.890909 
3200, 0.872727 
3300, 0.836364 
3400, 0.854545 
3500, 0.890909 
3600, 0.890909 
3700, 0.909091 
3800, 0.872727 
3900, 0.854545 
4000, 0.836364 
4100, 0.872727 
4200, 0.890909 
4300, 0.909091 
4400, 0.909091 
4500, 0.890909 
4600, 0.818182 
4700, 0.890909 
4800, 0.890909 
4900, 0.927273 
5000, 0.854545 
5100, 0.781818 
5200, 0.927273 
5300, 0.909091 
5400, 0.927273 
5500, 0.890909 
5600, 0.909091 
5700, 0.909091 
5800, 0.909091 
5900, 0.890909 
6000, 0.8 
6100, 0.927273 
6200, 0.945454 
6300, 0.890909 
6400, 0.945454 
6500, 0.945454 
6600, 0.945455 
6700, 0.945455 
6800, 0.890909 
6900, 0.945455 
7000, 0.890909 
7100, 0.854545 
7200, 0.927273 
7300, 0.963636 
7400, 0.927273 
7500, 0.927273 
7600, 0.963636 
7700, 0.927273 
7800, 0.945454 
7900, 0.963636 
8000, 0.963636 
8100, 0.745455 
8200, 0.963636 
8300, 0.945454 
8400, 0.963636 
8500, 0.945454 
8600, 0.927273 
8700, 1 
8800, 0.927273 
8900, 0.981818 
9000, 0.981818 
9100, 0.945454 
9200, 0.981818 
9300, 0.981818 
9400, 1 
9500, 0.981818 
9600, 0.854545 
9700, 0.981818 
9800, 0.981818 
9900, 0.927273 
10000, 0.963636 
10100, 0.981818 
10200, 0.981818 
10300, 0.963636 
10400, 1 
10500, 0.927273 
10600, 0.945454 
10700, 0.981818 
10800, 0.890909 
10900, 1 
11000, 1 
11100, 1 
11200, 0.836364 
11300, 0.963636 
11400, 1 
11500, 1 
11600, 0.909091 
11700, 1 
11800, 1 
11900, 0.981818 
12000, 1 
12100, 1 
12200, 1 
12300, 0.981818 
12400, 1 
12500, 1 
12600, 1 
12700, 1 
12800, 1 
12900, 1 
13000, 1 
13100, 0.945454 
13200, 0.981818 
13300, 1 
13400, 1 
13500, 1 
13600, 1 
13700, 1 
13800, 0.981818 
13900, 1 
14000, 0.872727 
14100, 1 
14200, 1 
14300, 1 
14400, 1 
14500, 0.981818 
14600, 0.927273 
14700, 1 
14800, 1 
14900, 1 
