步数,精度
0, 0.181818 
100, 0.181818 
200, 0.454545 
300, 0.563636 
400, 0.672727 
500, 0.709091 
600, 0.745455 
700, 0.690909 
800, 0.709091 
900, 0.709091 
1000, 0.745455 
1100, 0.745455 
1200, 0.781818 
1300, 0.781818 
1400, 0.763636 
1500, 0.781818 
1600, 0.781818 
1700, 0.836364 
1800, 0.818182 
1900, 0.836364 
2000, 0.745455 
2100, 0.836364 
2200, 0.836364 
2300, 0.818182 
2400, 0.890909 
2500, 0.836364 
2600, 0.890909 
2700, 0.818182 
2800, 0.836364 
2900, 0.890909 
3000, 0.872727 
3100, 0.890909 
3200, 0.818182 
3300, 0.909091 
3400, 0.854545 
3500, 0.890909 
3600, 0.909091 
3700, 0.836364 
3800, 0.872727 
3900, 0.909091 
4000, 0.909091 
4100, 0.890909 
4200, 0.872727 
4300, 0.927273 
4400, 0.927273 
4500, 0.872727 
4600, 0.909091 
4700, 0.872727 
4800, 0.854545 
4900, 0.890909 
5000, 0.927273 
5100, 0.890909 
5200, 0.781818 
5300, 0.890909 
5400, 0.872727 
5500, 0.909091 
5600, 0.927273 
5700, 0.8 
5800, 0.890909 
5900, 0.8 
6000, 0.927273 
6100, 0.890909 
6200, 0.890909 
6300, 0.890909 
6400, 0.927273 
6500, 0.927273 
6600, 0.909091 
6700, 0.890909 
6800, 0.927273 
6900, 0.890909 
7000, 0.945454 
7100, 0.909091 
7200, 0.890909 
7300, 0.909091 
7400, 0.927273 
7500, 0.927273 
7600, 0.872727 
7700, 0.909091 
7800, 0.927273 
7900, 0.945454 
8000, 0.927273 
8100, 0.963636 
8200, 0.963636 
8300, 0.945454 
8400, 0.909091 
8500, 0.981818 
8600, 0.945455 
8700, 0.963636 
8800, 0.945455 
8900, 0.981818 
9000, 0.981818 
9100, 0.909091 
9200, 0.945454 
9300, 0.981818 
9400, 0.927273 
9500, 0.945454 
9600, 0.963636 
9700, 0.963636 
9800, 0.981818 
9900, 0.981818 
10000, 0.981818 
10100, 0.981818 
10200, 0.963636 
10300, 0.981818 
10400, 1 
10500, 0.981818 
10600, 0.981818 
10700, 0.981818 
10800, 0.981818 
10900, 0.981818 
11000, 1 
11100, 1 
11200, 1 
11300, 0.981818 
11400, 0.963636 
11500, 1 
11600, 0.872727 
11700, 1 
11800, 0.981818 
11900, 1 
12000, 0.981818 
12100, 1 
12200, 1 
12300, 1 
12400, 1 
12500, 0.781818 
12600, 1 
12700, 1 
12800, 0.854545 
12900, 0.854545 
13000, 0.945454 
13100, 0.963636 
13200, 0.945455 
13300, 0.963636 
13400, 0.963636 
13500, 0.981818 
13600, 0.872727 
13700, 0.963636 
13800, 1 
13900, 1 
14000, 1 
14100, 1 
14200, 1 
14300, 0.890909 
14400, 1 
14500, 1 
14600, 0.981818 
14700, 0.963636 
14800, 0.945454 
14900, 1 
