步数,精度
0, 0.0909091 
100, 0.181818 
200, 0.181818 
300, 0.454545 
400, 0.6 
500, 0.672727 
600, 0.709091 
700, 0.745455 
800, 0.709091 
900, 0.709091 
1000, 0.763636 
1100, 0.8 
1200, 0.745454 
1300, 0.781818 
1400, 0.709091 
1500, 0.745455 
1600, 0.781818 
1700, 0.836364 
1800, 0.636364 
1900, 0.727273 
2000, 0.836364 
2100, 0.818182 
2200, 0.818182 
2300, 0.8 
2400, 0.854545 
2500, 0.836364 
2600, 0.781818 
2700, 0.854545 
2800, 0.854545 
2900, 0.872727 
3000, 0.854545 
3100, 0.872727 
3200, 0.909091 
3300, 0.872727 
3400, 0.927273 
3500, 0.890909 
3600, 0.909091 
3700, 0.909091 
3800, 0.909091 
3900, 0.909091 
4000, 0.854545 
4100, 0.909091 
4200, 0.854545 
4300, 0.836364 
4400, 0.890909 
4500, 0.909091 
4600, 0.854545 
4700, 0.909091 
4800, 0.8 
4900, 0.927273 
5000, 0.890909 
5100, 0.890909 
5200, 0.872727 
5300, 0.927273 
5400, 0.909091 
5500, 0.945454 
5600, 0.909091 
5700, 0.927273 
5800, 0.909091 
5900, 0.890909 
6000, 0.909091 
6100, 0.872727 
6200, 0.927273 
6300, 0.854545 
6400, 0.927273 
6500, 0.927273 
6600, 0.927273 
6700, 0.890909 
6800, 0.909091 
6900, 0.890909 
7000, 0.890909 
7100, 0.927273 
7200, 0.909091 
7300, 0.927273 
7400, 0.927273 
7500, 0.927273 
7600, 0.945455 
7700, 0.854545 
7800, 0.927273 
7900, 0.927273 
8000, 0.927273 
8100, 0.927273 
8200, 0.927273 
8300, 0.909091 
8400, 0.927273 
8500, 0.890909 
8600, 0.945454 
8700, 0.945454 
8800, 0.927273 
8900, 0.890909 
9000, 0.963636 
9100, 0.945455 
9200, 0.945454 
9300, 0.945454 
9400, 0.963636 
9500, 0.945454 
9600, 0.945454 
9700, 0.945454 
9800, 0.854545 
9900, 0.945454 
10000, 0.945454 
10100, 0.927273 
10200, 0.854545 
10300, 0.963636 
10400, 0.945454 
10500, 0.963636 
10600, 0.945454 
10700, 0.818182 
10800, 0.963636 
10900, 0.945454 
11000, 0.963636 
11100, 0.963636 
11200, 0.963636 
11300, 0.963636 
11400, 0.963636 
11500, 0.963636 
11600, 0.963636 
11700, 0.981818 
11800, 0.963636 
11900, 0.981818 
12000, 0.927273 
12100, 0.981818 
12200, 0.981818 
12300, 0.963636 
12400, 0.981818 
12500, 0.963636 
12600, 0.981818 
12700, 0.945454 
12800, 0.945454 
12900, 0.981818 
13000, 0.909091 
13100, 0.963636 
13200, 1 
13300, 0.927273 
13400, 1 
13500, 1 
13600, 1 
13700, 1 
13800, 0.945454 
13900, 1 
14000, 0.981818 
14100, 1 
14200, 1 
14300, 0.890909 
14400, 0.963636 
14500, 0.981818 
14600, 1 
14700, 1 
14800, 0.909091 
14900, 0.981818 
